Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2019-01-02,106.217,109.514,105.335,108.229,4783200,0.0,0.0
2019-01-03,107.313,107.476,103.142,104.059,6165800,0.0,0.0
2019-01-04,106.337,110.122,105.934,109.745,5456600,0.0,0.0
2019-01-07,110.122,110.987,108.503,109.814,4653400,0.0,0.0
2019-01-08,111.244,112.614,109.814,111.132,4202600,0.0,0.0
2019-01-09,112.263,113.231,111.252,111.561,4865600,0.0,0.0
2019-01-10,110.139,114.001,108.974,113.864,3418500,0.0,0.0
2019-01-11,112.254,113.316,111.372,113.128,2908600,0.0,0.0
2019-01-14,111.595,113.376,110.584,112.871,4482300,0.0,0.0
2019-01-15,113.136,113.993,110.953,111.92,3224100,0.0,0.0
2019-01-16,111.98,113.487,111.535,112.751,3636900,0.0,0.0
2019-01-17,111.732,116.382,110.61,115.217,6878500,0.0,0.0
2019-01-18,116.441,118.699,115.2,117.734,6122400,0.86,0.0
2019-01-22,116.295,116.303,113.054,113.976,5188700,0.0,0.0
2019-01-23,114.666,115.054,112.175,113.614,3123600,0.0,0.0
2019-01-24,113.261,114.623,113.08,114.399,3943600,0.0,0.0
2019-01-25,116.157,117.984,115.398,117.958,6417400,0.0,0.0
2019-01-28,109.451,110.149,106.142,107.193,17421400,0.0,0.0
2019-01-29,108.262,110.658,108.262,109.055,8550800,0.0,0.0
2019-01-30,110.261,113.209,108.865,112.14,7181600,0.0,0.0
2019-01-31,112.321,114.924,111.218,114.769,6643300,0.0,0.0
2019-02-01,114.657,115.372,112.14,112.83,5646700,0.0,0.0
2019-02-04,112.804,113.175,112.132,112.804,4541700,0.0,0.0
2019-02-05,112.589,113.856,112.563,113.769,3614500,0.0,0.0
2019-02-06,113.14,113.856,112.356,112.511,3098200,0.0,0.0
2019-02-07,111.434,112.425,109.77,110.994,3682100,0.0,0.0
2019-02-08,109.874,110.839,109.072,110.839,3135000,0.0,0.0
2019-02-11,111.141,112.106,110.916,111.123,2648100,0.0,0.0
2019-02-12,112.27,115.114,112.046,114.347,4505600,0.0,0.0
2019-02-13,115.666,115.76,114.157,114.717,3189600,0.0,0.0
2019-02-14,113.58,114.847,113.14,114.304,2877500,0.0,0.0
2019-02-15,115.579,117.432,115.217,117.389,5217500,0.0,0.0
2019-02-19,116.657,118.062,116.355,117.045,3881300,0.0,0.0
2019-02-20,117.553,121.259,117.51,120.932,6199000,0.0,0.0
2019-02-21,120.449,121.509,119.294,119.699,4051100,0.0,0.0
2019-02-22,119.613,120.397,118.88,119.527,3485000,0.0,0.0
2019-02-25,121.518,122.862,120.82,121.88,4444100,0.0,0.0
2019-02-26,117.674,119.828,116.588,118.923,7275600,0.0,0.0
2019-02-27,118.82,120.354,118.199,120.302,3441000,0.0,0.0
2019-02-28,119.415,119.803,118.199,118.372,4024000,0.0,0.0
2019-03-01,119.682,120.233,118.027,118.484,3811000,0.0,0.0
2019-03-04,119.63,120.466,118.165,119.242,3859800,0.0,0.0
2019-03-05,118.992,119.337,118.079,118.199,3122900,0.0,0.0
2019-03-06,118.544,118.648,116.122,116.208,3886000,0.0,0.0
2019-03-07,115.821,116.191,113.442,114.459,4290800,0.0,0.0
2019-03-08,112.477,113.881,112.244,113.209,4238000,0.0,0.0
2019-03-11,113.692,114.976,113.425,114.726,3914800,0.0,0.0
2019-03-12,114.838,114.959,113.7,114.183,4208800,0.0,0.0
2019-03-13,115.476,115.76,114.364,115.062,4285200,0.0,0.0
2019-03-14,114.493,115.553,113.787,115.226,3742200,0.0,0.0
2019-03-15,115.381,115.95,113.752,114.347,7049900,0.0,0.0
2019-03-18,114.373,115.665,114.226,115.579,4095400,0.0,0.0
2019-03-19,116.657,116.967,115.071,115.622,3315900,0.0,0.0
2019-03-20,115.347,115.622,113.821,114.64,3522100,0.0,0.0
2019-03-21,113.907,116.01,113.778,115.545,2635700,0.0,0.0
2019-03-22,114.623,114.89,111.606,111.847,5745800,0.0,0.0
2019-03-25,111.692,113.769,111.382,113.235,3199800,0.0,0.0
2019-03-26,114.364,115.114,113.019,338.19271578133754,2638200,0.0,0.0
2019-03-27,114.002,114.174,112.261,113.08,2378300,0.0,0.0
2019-03-28,113.683,114.459,113.045,114.088,2487200,0.0,0.0
2019-03-29,115.493,117.458,115.166,116.777,4681600,0.0,0.0
2019-04-01,118.674,120.983,117.493,120.88,5081500,0.0,0.0
2019-04-02,120.794,121.259,120.001,120.828,2529000,0.0,0.0
2019-04-03,120.535,121.138,119.294,120.027,4821800,0.0,0.0
2019-04-04,119.923,121.414,119.803,120.777,2988900,0.0,0.0
2019-04-05,121.613,121.656,120.596,120.975,2812300,0.0,0.0
2019-04-08,120.664,120.768,119.466,120.509,2497300,0.0,0.0
2019-04-09,119.501,119.725,117.277,117.519,3316500,0.0,0.0
2019-04-10,118.217,119.122,117.458,118.536,3310600,0.0,0.0
