Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2019-01-02,215.901,217.306,212.19,,2725100,0.0,0.0
2019-01-03,214.821,215.057,206.288,208.2297393722608,3125000,0.0,0.0
2019-01-04,212.121,220.478,211.757,217.43481111370085,2865400,0.0,0.0
2019-01-07,218.003,224.347,218.003,220.346746464978,2931400,0.0,0.0
2019-01-08,222.589,226.9,221.577,225.41570211912548,2876600,0.0,0.0
2019-01-09,226.998,233.813,226.998,231.61292868300364,2989000,0.0,0.0
2019-01-10,230.189,235.188,230.189,234.01993460362877,1885700,0.0,0.0
2019-01-11,233.46,235.699,232.262,235.13470126382794,1369200,0.0,0.0
2019-01-14,233.666,234.373,230.572,230.22402740083368,1613800,0.0,0.0
2019-01-15,230.769,232.527,229.669,230.64457534961085,2375800,0.0,0.0
2019-01-16,232.733,234.697,230.248,229.82119358593962,1671800,0.0,0.0
2019-01-17,229.915,234.481,229.502,233.26247742293342,1799000,0.0,0.0
2019-01-18,236.003,237.623,233.941,235.68834293194192,3125300,0.0,0.0
2019-01-22,234.284,236.455,233.273,235.72723432824,2007300,0.0,0.0
2019-01-23,238.065,240.117,234.392,236.47104087570253,1945700,0.0,0.0
2019-01-24,236.445,237.093,234.019,235.60680542734312,1672500,0.0,0.0
2019-01-25,238.134,239.921,236.248,235.92074124816833,2003300,0.0,0.0
2019-01-28,233.803,235.679,232.34,232.94409414375113,1799200,0.0,0.0
2019-01-29,233.774,235.61,232.183,231.98280218358985,1736800,0.0,0.0
2019-01-30,234.471,241.482,231.653,239.83880309147315,2539400,0.0,0.0
2019-01-31,239.204,241.522,236.798,240.43504715726345,2218000,0.0,0.0
2019-02-01,240.952,241.247,238.173,238.23239293637565,1622500,0.0,0.0
2019-02-04,239.145,239.666,236.258,238.38880656451062,1200500,0.0,0.0
2019-02-05,239.204,242.219,238.546,240.74601325843858,1626100,0.0,0.0
2019-02-06,240.775,243.407,240.775,241.95576229646983,1033100,0.0,0.0
2019-02-07,240.697,241.433,236.582,237.6708274679554,1147600,0.0,0.0
2019-02-08,237.142,239.194,236.563,238.25796171568408,794600,0.0,0.0
2019-02-11,239.126,241.708,238.998,239.29293167417492,1233000,0.0,0.0
2019-02-12,241.983,244.821,240.844,242.94350680130668,1189200,0.0,0.0
2019-02-13,244.733,245.175,242.013,242.02222730790058,1014500,0.0,0.0
2019-02-14,242.415,242.936,241.315,240.79574382239315,996300,0.0,0.0
2019-02-15,244.33,247.964,243.221,246.92942019028405,1718200,0.0,0.0
2019-02-19,247.139,247.669,246.176,245.30073066338372,1099900,0.0,0.0
2019-02-20,246.432,248.062,245.322,246.6563626239361,1091100,0.0,0.0
2019-02-21,246.353,247.041,245.204,245.9023326953741,840300,0.0,0.0
2019-02-22,246.923,247.826,246.648,246.536876079248,1118000,0.0,0.0
2019-02-25,247.973,251.126,247.964,248.232958582134,1194700,0.0,0.0
2019-02-26,249.162,250.595,248.278,248.37930386873046,1198300,0.0,0.0
2019-02-27,248.504,254.906,248.504,253.36489127491356,1759100,0.0,0.0
2019-02-28,253.207,255.427,251.97,253.78470401842128,2061300,0.0,0.0
2019-03-01,256.301,259.689,255.014,258.13792701816993,1433700,0.0,0.0
2019-03-04,261.211,261.388,253.669,253.59151697724405,1342800,0.0,0.0
2019-03-05,255.034,255.613,248.847,248.66684528207804,2900200,0.0,0.0
