Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2019-01-02,14.625,15.018,14.455,,7585500,0.0,0.0
2019-01-03,14.673,14.732,14.356,14.420356914005229,10809500,0.0,0.0
2019-01-04,14.658,14.914,14.462,14.71330677632384,10217500,0.0,0.0
2019-01-07,14.701,15.107,14.664,14.928639405482171,12700500,0.0,0.0
2019-01-08,15.039,15.116,14.735,14.919641129440443,10014000,0.0,0.0
2019-01-09,15.03,15.391,15.03,15.118215181126633,6544500,0.0,0.0
2019-01-10,14.941,15.141,14.716,15.127207279771273,6331000,0.0,0.0
2019-01-11,15.123,15.429,15.086,15.240714139576067,6023000,0.0,0.0
2019-01-14,15.139,15.645,15.111,15.347275583457295,12025500,0.0,0.0
2019-01-15,15.347,15.631,15.209,15.532041132743148,8319000,0.0,0.0
2019-01-16,15.536,15.758,15.517,15.564982907833082,6461000,0.0,0.0
2019-01-17,15.449,15.837,15.322,15.806920243464138,6077500,0.0,0.0
2019-01-18,15.915,16.114,15.858,15.981803719752,6277000,0.0,0.0
2019-01-22,15.929,16.178,15.896,15.959808115289448,5847500,0.0,0.0
2019-01-23,16.089,16.105,15.735,15.898745645779561,5129500,0.0,0.0
2019-01-24,15.808,15.894,15.409,15.64191068293742,6618500,0.0,0.0
2019-01-25,15.799,16.024,15.756,15.996492302530866,7451500,0.0,0.0
2019-01-28,15.895,15.974,15.74,15.908362653548156,5962000,0.0,0.0
2019-01-29,15.999,16.133,15.811,16.04955029883102,5295000,0.0,0.0
2019-01-30,16.128,16.207,15.971,15.999539195486793,8871500,0.0,0.0
2019-01-31,15.452,15.654,14.769,15.227205786934668,33385000,0.0,0.0
2019-02-01,15.368,15.817,15.139,15.504943329522042,12705500,0.0,0.0
2019-02-04,15.538,15.89,15.374,15.838417041731402,7207000,0.0,0.0
2019-02-05,15.906,16.112,15.824,15.967508302785683,7713000,0.0,0.0
2019-02-06,16.015,16.291,15.828,16.222693190291864,6167500,0.0,0.0
2019-02-07,16.196,16.224,15.944,16.17277102758743,7866000,0.0,0.0
2019-02-08,16.124,16.562,16.08,16.4495226250828,9401500,0.0,0.0
2019-02-11,16.625,16.948,16.571,16.780093125854503,9177500,0.0,0.0
2019-02-12,16.898,17.115,16.848,17.021509007070307,8196500,0.0,0.0
2019-02-13,17.086,17.193,16.891,17.070265591504295,8218000,0.0,0.0
2019-02-14,17.027,17.215,16.893,17.061295142559146,7353000,0.0,0.0
2019-02-15,17.195,17.454,17.091,17.379173749133646,7288000,0.0,0.0
2019-02-19,17.268,17.404,17.045,17.28727308752442,6234000,0.0,0.0
2019-02-20,17.297,17.524,17.297,17.372740665206987,6023500,0.0,0.0
2019-02-21,17.422,17.524,17.279,17.276835700322028,4359000,0.0,0.0
2019-02-22,17.404,17.449,17.134,17.157874232288545,6575000,0.062,0.0
2019-02-25,17.311,17.345,16.958,16.93527596760224,4743500,0.0,0.0
