Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2019-01-02,17.108,18.429,16.803,18.383,7754200,0.0,0.0
2019-01-03,18.392,18.392,17.579,17.847,4970000,0.0,0.0
2019-01-04,18.179,18.641,17.625,18.032,11672100,0.0,0.0
2019-01-07,17.69,19.048,17.579,18.235,8225800,0.0,0.0
2019-01-08,18.346,18.854,18.152,18.798,6983500,0.0,0.0
2019-01-09,18.909,18.965,18.207,18.438,5085600,0.0,0.0
2019-01-10,18.346,18.734,17.967,18.281,4247000,0.0,0.0
2019-01-11,18.069,18.854,17.912,18.817,3791100,0.0,0.0
2019-01-14,18.614,19.427,18.475,19.205,4568800,0.0,0.0
2019-01-15,19.306,19.648,18.983,19.353,3755200,0.0,0.0
2019-01-16,19.353,19.519,18.909,18.937,3390900,0.0,0.0
2019-01-17,18.863,19.454,18.678,19.362,3904600,0.0,0.0
2019-01-18,19.519,19.787,19.131,19.565,4792900,0.0,0.0
2019-01-22,19.334,19.334,18.429,18.466,4902400,0.0,0.0
2019-01-23,18.614,18.946,17.551,17.598,5623500,0.0,0.0
2019-01-24,17.57,17.662,16.831,17.45,7062700,0.0,0.0
2019-01-25,17.505,18.549,17.44,18.447,4363200,0.0,0.0
2019-01-28,18.364,18.364,17.551,17.875,3664200,0.0,0.0
2019-01-29,17.828,18.346,17.293,18.263,3924600,0.0,0.0
2019-01-30,18.355,18.512,18.216,18.337,3484800,0.0,0.0
2019-01-31,18.401,18.41,17.634,17.985,5711800,0.0,0.0
2019-02-01,17.995,18.549,17.773,18.161,3336000,0.0,0.0
2019-02-04,18.041,18.29,17.736,18.272,2414100,0.0,0.0
2019-02-05,18.216,18.475,17.57,17.634,4778600,0.0,0.0
2019-02-06,17.561,17.634,17.099,17.256,3186600,0.0,0.0
2019-02-07,17.136,17.256,16.434,16.48,4224800,0.0,0.0
2019-02-08,16.434,16.637,16.221,16.434,3992900,0.0,0.0
2019-02-11,16.498,17.136,16.313,16.979,2715500,0.0,0.0
2019-02-12,17.191,17.662,17.126,17.44,3391900,0.0,0.0
2019-02-13,17.514,17.773,17.367,17.745,4407500,0.0,0.0
2019-02-14,17.56,17.838,16.58,16.839,6704300,0.03,0.0
2019-02-15,16.95,17.875,16.95,17.514,5858600,0.0,0.0
2019-02-19,17.421,18.078,17.394,17.551,5633800,0.0,0.0
2019-02-20,17.653,18.273,17.597,17.903,5114600,0.0,0.0
2019-02-21,17.847,18.06,17.468,17.607,3089100,0.0,0.0
2019-02-22,18.106,18.273,17.755,17.866,5516200,0.0,0.0
2019-02-25,17.884,18.532,17.884,18.328,4334900,0.0,0.0
