Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2019-01-02,10.528,10.651,10.397,10.586,4422700,0.0,0.0
2019-01-03,10.579,10.775,10.542,10.564,4263800,0.0,0.0
2019-01-04,10.615,10.884,10.593,10.76,2705400,0.0,0.0
2019-01-07,10.789,11.239,10.789,11.138,3955400,0.0,0.0
2019-01-08,11.21,11.435,11.167,11.37,3840600,0.0,0.0
2019-01-09,11.399,11.464,11.276,11.428,4057500,0.0,0.0
2019-01-10,11.37,11.588,11.334,11.472,3354700,0.0,0.0
2019-01-11,11.472,11.544,11.392,11.522,3156200,0.0,0.0
2019-01-14,11.515,11.588,11.45,11.53,3047600,0.0,0.0
2019-01-15,11.566,11.755,11.515,11.733,4962600,0.0,0.0
2019-01-16,11.719,11.958,11.66,11.864,4899000,0.0,0.0
2019-01-17,11.827,12.038,11.791,12.023,5867400,0.0,0.0
2019-01-18,12.045,12.074,11.929,12.016,6616000,0.0,0.0
2019-01-22,12.023,12.031,11.835,11.944,3614300,0.0,0.0
2019-01-23,11.958,11.98,11.769,11.82,4040500,0.0,0.0
2019-01-24,11.82,11.944,11.777,11.907,1939100,0.0,0.0
2019-01-25,11.965,12.125,11.944,12.125,5037500,0.0,0.0
2019-01-28,12.089,12.394,12.023,12.357,4074800,0.0,0.0
2019-01-29,12.379,12.524,12.35,12.517,3844000,0.0,0.0
2019-01-30,12.524,12.706,12.503,12.59,5270200,0.0,0.0
2019-01-31,12.343,12.503,12.074,12.35,15062600,0.0,0.0
2019-02-01,12.452,12.684,12.219,12.459,4622900,0.0,0.0
2019-02-04,12.43,12.546,12.278,12.539,4977900,0.0,0.0
2019-02-05,12.553,12.662,12.379,12.655,3089200,0.0,0.0
2019-02-06,12.633,12.684,12.561,12.619,2880800,0.0,0.0
2019-02-07,12.561,12.793,12.488,12.793,2662300,0.0,0.0
2019-02-08,12.742,12.967,12.72,12.946,5278100,0.0,0.0
2019-02-11,12.924,13.025,12.873,12.931,3634700,0.0,0.0
2019-02-12,12.96,12.996,12.822,12.873,4229400,0.0,0.0
2019-02-13,12.844,12.996,12.757,12.931,3066400,0.0,0.0
2019-02-14,12.902,12.931,12.808,12.837,2566100,0.0,0.0
2019-02-15,12.895,12.931,12.815,12.895,2962800,0.0,0.0
2019-02-19,12.88,13.011,12.808,12.909,2849500,0.0,0.0
2019-02-20,12.895,12.909,12.59,12.749,4808300,0.0,0.0
2019-02-21,12.67,12.822,12.553,12.8,3187700,0.0,0.0
2019-02-22,12.837,13.011,12.779,12.873,2202000,0.0,0.0
2019-02-25,12.902,12.946,12.786,12.844,2121300,0.0,0.0
2019-02-26,12.873,12.909,12.72,12.815,3070100,0.0,0.0
2019-02-27,12.742,12.793,12.583,12.691,2714300,0.0,0.0
2019-02-28,12.691,12.916,12.648,12.771,4961900,0.0,0.0
2019-03-01,12.786,12.8,12.357,12.583,5834800,0.0,0.0
2019-03-04,12.59,12.612,12.372,12.517,3944500,0.0,0.0
2019-03-05,12.495,12.757,12.481,12.742,2314600,0.0,0.0
2019-03-06,12.72,12.735,12.51,12.517,2671800,0.0,0.0
2019-03-07,12.575,12.706,12.546,12.626,4134600,0.0,0.0
2019-03-08,12.561,12.684,12.51,12.575,4612700,0.0,0.0
2019-03-11,12.626,12.757,12.539,12.742,2618600,0.0,0.0
2019-03-12,12.8,12.916,12.771,12.837,4020700,0.0,0.0
2019-03-13,12.88,12.967,12.873,12.931,2998600,0.0,0.0
2019-03-14,12.967,12.996,12.866,12.989,2982300,0.0,0.0
2019-03-15,13.004,13.076,12.808,12.822,6077500,0.0,0.0
2019-03-18,12.858,12.909,12.662,12.728,3712900,0.0,0.0
2019-03-19,12.735,12.866,12.713,12.786,3363000,0.0,0.0
2019-03-20,12.808,12.946,12.648,12.851,2511100,0.0,0.0
2019-03-21,12.866,13.214,12.844,13.192,3007300,0.0,0.0
2019-03-22,13.214,13.367,13.156,13.163,2740900,0.0,0.0
2019-03-25,13.178,13.229,13.018,13.178,2014800,0.0,0.0
2019-03-26,13.229,13.497,13.221,13.483,2507900,0.0,0.0
2019-03-27,13.454,13.512,13.294,13.374,3046400,0.0,0.0
2019-03-28,13.425,13.534,13.359,13.534,2624100,0.0,0.0
2019-03-29,13.526,13.534,13.381,13.432,3180200,0.0,0.0
2019-04-01,13.373,13.491,13.255,13.403,3195600,0.28,0.0
2019-04-02,13.38,13.513,13.226,13.506,3365800,0.0,0.0
2019-04-03,13.491,13.55,13.388,13.403,3023700,0.0,0.0
2019-04-04,13.432,13.476,13.307,13.395,2017000,0.0,0.0
2019-04-05,13.388,13.609,13.351,13.602,2622200,0.0,0.0
2019-04-08,13.565,13.572,13.454,13.491,3367500,0.0,0.0
2019-04-09,13.491,13.491,13.344,13.388,2470600,0.0,0.0
2019-04-10,13.469,13.638,13.395,13.609,4147000,0.0,0.0
2019-04-11,13.638,13.683,13.432,13.469,2328200,0.0,0.0
2019-04-12,13.469,13.513,13.299,13.447,3682100,0.0,0.0
2019-04-15,13.476,13.491,13.174,13.189,3630500,0.0,0.0
2019-04-16,13.211,13.233,12.695,12.798,4142600,0.0,0.0
2019-04-17,12.827,12.886,12.695,12.695,4077800,0.0,0.0
2019-04-18,12.687,12.96,12.628,12.923,3571900,0.0,0.0
