Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2019-01-02,10.001,10.487,9.935,10.395,15676500,0.0,0.0
2019-01-03,10.441,10.56,10.218,10.336,18259000,0.0,0.0
2019-01-04,10.507,10.731,10.494,10.685,12821300,0.0,0.0
2019-01-07,10.724,10.941,10.665,10.915,13515900,0.0,0.0
2019-01-08,11.02,11.297,10.961,11.277,20422300,0.0,0.0
2019-01-09,11.382,11.428,11.218,11.356,20096900,0.0,0.0
2019-01-10,11.303,11.428,11.198,11.422,16987600,0.0,0.0
2019-01-11,11.323,11.448,11.152,11.257,26792200,0.0,0.0
2019-01-14,11.126,11.389,11.126,11.336,17797300,0.0,0.0
2019-01-15,11.33,11.455,11.297,11.395,16187000,0.0,0.0
2019-01-16,11.409,11.586,11.376,11.494,18946700,0.0,0.0
2019-01-17,11.257,11.836,11.139,11.659,23621900,0.0,0.0
2019-01-18,11.764,11.876,11.632,11.849,17833900,0.0,0.0
2019-01-22,11.77,11.79,11.553,11.599,24361700,0.0,0.0
2019-01-23,11.659,11.685,11.218,11.343,21019300,0.0,0.0
2019-01-24,11.323,11.547,11.316,11.501,14817900,0.0,0.0
2019-01-25,11.58,11.777,11.56,11.672,15189900,0.0,0.0
2019-01-28,11.58,11.79,11.54,11.77,13721000,0.0,0.0
2019-01-29,11.823,11.915,11.711,11.876,15680000,0.0,0.0
2019-01-30,11.942,12.102,11.936,12.035,14595600,0.2,0.0
2019-01-31,12.069,12.082,11.936,12.042,13933200,0.0,0.0
2019-02-01,12.042,12.215,11.995,12.208,11041400,0.0,0.0
2019-02-04,12.128,12.222,12.115,12.215,11746200,0.0,0.0
2019-02-05,12.188,12.295,12.155,12.288,11186200,0.0,0.0
2019-02-06,12.188,12.222,11.982,12.015,13230100,0.0,0.0
2019-02-07,11.989,12.022,11.783,11.949,11599400,0.0,0.0
2019-02-08,11.916,11.989,11.822,11.989,8613300,0.0,0.0
2019-02-11,11.942,12.175,11.896,12.155,13701200,0.0,0.0
2019-02-12,12.268,12.348,12.208,12.295,14593900,0.0,0.0
2019-02-13,12.328,12.501,12.321,12.468,18725100,0.0,0.0
2019-02-14,12.441,12.588,12.408,12.561,13248200,0.0,0.0
2019-02-15,12.614,12.627,12.481,12.508,19219700,0.0,0.0
2019-02-19,12.474,12.787,12.461,12.741,18435400,0.0,0.0
2019-02-20,12.734,12.854,12.721,12.754,13786900,0.0,0.0
2019-02-21,12.741,12.814,12.681,12.767,15212800,0.0,0.0
2019-02-22,12.854,12.953,12.714,12.854,15291800,0.0,0.0
2019-02-25,12.834,12.927,12.767,12.84,14741500,0.0,0.0
2019-02-26,12.84,12.933,12.767,12.787,16229900,0.0,0.0
2019-02-27,12.847,12.874,12.621,12.827,9682100,0.0,0.0
2019-02-28,12.84,12.854,12.727,12.747,11822500,0.0,0.0
2019-03-01,12.774,13.133,12.767,13.133,19780200,0.0,0.0
2019-03-04,13.186,13.213,12.987,13.206,17989400,0.0,0.0
2019-03-05,13.24,13.306,13.1,13.286,14184800,0.0,0.0
2019-03-06,13.273,13.313,13.186,13.306,15263000,0.0,0.0
2019-03-07,13.293,13.306,13.16,13.2,17013100,0.0,0.0
2019-03-08,13.133,13.153,12.953,13.126,17677400,0.0,0.0
2019-03-11,13.226,13.319,13.186,13.24,12887000,0.0,0.0
2019-03-12,13.226,13.306,13.146,13.213,18940600,0.0,0.0
2019-03-13,13.273,13.346,13.233,13.293,17137900,0.0,0.0
2019-03-14,13.306,13.366,13.233,13.293,13336700,0.0,0.0
2019-03-15,13.24,13.306,13.173,13.22,28630200,0.0,0.0
2019-03-18,13.213,13.313,13.2,13.299,16565600,0.0,0.0
2019-03-19,13.326,13.426,13.246,13.339,19594400,0.0,0.0
2019-03-20,13.346,13.506,13.286,13.366,15680000,0.0,0.0
2019-03-21,13.339,13.599,13.273,13.585,17873700,0.0,0.0
2019-03-22,13.452,13.452,13.226,13.24,18977400,0.0,0.0
2019-03-25,13.233,13.419,13.126,13.393,14471200,0.0,0.0
2019-03-26,13.499,13.572,13.313,13.366,10840700,0.0,0.0
2019-03-27,13.299,13.386,13.166,13.293,13129300,0.0,0.0
2019-03-28,13.24,13.279,13.1,13.273,15986200,0.0,0.0
2019-03-29,13.339,13.432,13.24,13.313,12665800,0.0,0.0
2019-04-01,13.353,13.446,13.279,13.333,23043800,0.0,0.0
2019-04-02,13.319,13.359,13.24,13.339,13659300,0.0,0.0
2019-04-03,13.353,13.366,13.18,13.233,11839900,0.0,0.0
2019-04-04,13.24,13.266,13.146,13.253,13201100,0.0,0.0
2019-04-05,13.24,13.353,13.2,13.339,9349800,0.0,0.0
2019-04-08,13.339,13.379,13.213,13.266,10194900,0.0,0.0
2019-04-09,13.18,13.253,13.087,13.233,9516200,0.0,0.0
2019-04-10,13.279,13.279,13.146,13.2,9980900,0.0,0.0
2019-04-11,13.186,13.273,13.14,13.253,6844300,0.0,0.0
2019-04-12,13.299,13.326,13.16,13.186,12234400,0.0,0.0
2019-04-15,13.18,13.2,13.1,13.166,8894000,0.0,0.0
2019-04-16,13.173,13.253,13.12,13.18,10665300,0.0,0.0
2019-04-17,13.22,13.22,13.093,13.1,11622600,0.0,0.0
2019-04-18,13.047,13.193,12.741,12.9,23450100,0.0,0.0
2019-04-22,13.027,13.373,12.987,13.326,20438700,0.0,0.0
2019-04-23,13.339,13.373,13.2,13.359,14768000,0.0,0.0
2019-04-24,13.319,13.386,13.273,13.359,12995800,0.0,0.0
2019-04-25,13.333,13.466,13.286,13.286,12878400,0.0,0.0
2019-04-26,13.279,13.466,13.24,13.459,15682400,0.0,0.0
2019-04-29,13.425,13.473,13.25,13.378,12905200,0.25,0.0
2019-04-30,13.412,13.526,13.318,13.385,18959600,0.0,0.0
2019-05-01,13.378,13.432,13.196,13.196,10815500,0.0,0.0
2019-05-02,13.169,13.223,13.035,13.041,12380300,0.0,0.0
2019-05-03,13.129,13.264,13.109,13.156,11857700,0.0,0.0
2019-05-06,13.075,13.196,13.055,13.095,11380200,0.0,0.0
2019-05-07,12.974,13.25,12.961,13.176,15226900,0.0,0.0
2019-05-08,13.149,13.338,13.095,13.25,12798600,0.0,0.0
2019-05-09,13.196,13.338,13.116,13.291,10568200,0.0,0.0
