Date,Klose,Open,High,Low,Volume
2019-01-02,29.757,28.939,29.803,28.718,2704500
2019-01-03,29.068,29.551,29.613,28.857,2962050
2019-01-04,30.359,29.418,30.374,29.315,3854850
2019-01-07,30.323,30.22,30.719,29.736,4571550
2019-01-08,30.616,30.6,30.955,30.333,4449450
2019-01-09,30.153,30.76,30.94,29.988,5207250
2019-01-10,30.426,29.742,30.672,29.608,4232100
2019-01-11,30.57,30.369,30.708,30.05,2878800
2019-01-14,30.842,30.4,31.027,30.168,3319200
2019-01-15,30.636,30.863,30.955,30.487,2098950
2019-01-16,30.888,30.693,31.068,30.58,2283600
2019-01-17,31.547,30.76,31.819,30.683,3676650
2019-01-18,32.39,31.819,32.488,31.588,3367050
2019-01-22,31.912,32.087,32.184,31.598,3508200
2019-01-23,31.691,32.164,32.164,31.49,2850150
2019-01-24,31.778,31.454,31.85,31.392,3752550
2019-01-25,32.241,32.174,32.539,32.102,3333600
2019-01-28,31.526,31.768,31.804,31.351,6590100
2019-01-29,33.347,32.797,33.414,32.097,5888850
2019-01-30,33.3,33.429,33.527,32.724,4264500
2019-01-31,33.697,33.249,33.717,32.997,3718950
2019-02-01,33.409,33.691,33.882,33.3,3028500
2019-02-04,33.558,33.372,33.563,33.007,3088050
2019-02-05,33.722,33.65,33.743,33.29,2964750
2019-02-06,33.717,33.414,33.882,33.151,3180750
2019-02-07,33.892,33.804,33.984,33.486,3771450
2019-02-08,33.918,33.748,33.928,33.403,2302500
2019-02-11,33.778,34.031,34.212,33.763,1567350
2019-02-12,34.502,34.13,34.636,34.047,2659500
2019-02-13,34.848,34.672,34.982,34.527,1684800
2019-02-14,34.558,34.641,34.915,34.46,2368800
2019-02-15,35.194,34.894,35.266,34.626,2900400
2019-02-19,35.256,35.132,35.437,34.987,2349000
2019-02-20,35.68,35.303,35.695,35.142,1937550
2019-02-21,35.747,35.566,35.892,35.468,2528550
2019-02-22,36.119,35.897,36.295,35.866,2617200
2019-02-25,35.912,36.341,36.357,35.881,2124900
2019-02-26,35.83,35.747,36.114,35.613,3012900
2019-02-27,35.36,35.675,35.675,35.075,2964300
2019-02-28,35.039,35.349,35.349,34.843,3467400
2019-03-01,35.024,35.272,35.437,34.739,3309450
2019-03-04,34.874,35.204,35.365,34.45,3549450
2019-03-05,35.034,34.951,35.22,34.796,3345150
2019-03-06,34.76,34.967,35.07,34.734,3741900
2019-03-07,34.688,34.631,34.745,34.068,3154050
2019-03-08,34.786,34.367,34.817,34.212,2787300
2019-03-11,35.22,34.827,35.256,34.703,2701200
