Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2019-01-02,50.769,50.785,49.369,49.643,1493400,0.0,0.0
2019-01-03,49.69,50.198,49.416,49.612,1272100,0.0,0.0
2019-01-04,49.369,50.253,49.338,50.112,1365900,0.0,0.0
2019-01-07,49.862,50.409,49.682,49.987,1211200,0.0,0.0
2019-01-08,49.917,51.066,49.76,50.902,1479300,0.0,0.0
2019-01-09,50.683,51.16,50.487,50.628,1483900,0.0,0.0
2019-01-10,50.738,51.723,50.542,51.645,1660300,0.0,0.0
2019-01-11,51.582,51.801,51.16,51.598,1301400,0.0,0.0
2019-01-14,51.082,51.418,50.613,51.277,2219400,0.0,0.0
2019-01-15,51.058,52.317,51.058,51.926,1484400,0.0,0.0
2019-01-16,51.778,52.208,51.707,52.122,2177100,0.0,0.0
2019-01-17,52.169,52.731,52.012,52.606,1595500,0.0,0.0
2019-01-18,52.669,53.029,52.552,52.911,1556900,0.0,0.0
2019-01-22,53.013,53.404,52.247,52.771,1780900,0.0,0.0
2019-01-23,52.716,53.427,52.716,53.404,1284300,0.0,0.0
2019-01-24,53.576,53.615,52.982,53.529,1582100,0.0,0.0
2019-01-25,53.357,53.623,52.552,52.606,1236300,0.0,0.0
2019-01-28,52.716,52.904,52.137,52.473,1549000,0.0,0.0
2019-01-29,52.645,52.99,52.473,52.661,1490100,0.0,0.0
2019-01-30,52.341,52.982,52.286,52.841,1515900,0.0,0.0
2019-01-31,53.279,54.592,52.763,54.272,3903600,0.0,0.0
2019-02-01,54.272,54.373,53.466,54.061,1840400,0.0,0.0
2019-02-04,53.67,53.967,53.201,53.967,1790300,0.0,0.0
2019-02-05,53.99,54.311,53.67,54.194,1305900,0.0,0.0
2019-02-06,54.108,54.389,53.818,53.967,1109600,0.0,0.0
2019-02-07,54.014,54.749,53.756,54.749,1597200,0.0,0.0
2019-02-08,54.577,54.796,54.264,54.772,2071600,0.0,0.0
2019-02-11,54.506,55.116,54.491,54.85,1509100,0.0,0.0
2019-02-12,55.038,55.218,54.506,54.952,1252300,0.0,0.0
2019-02-13,54.78,54.936,54.459,54.78,1412400,0.0,0.0
2019-02-14,54.882,55.108,54.522,54.811,1735000,0.0,0.0
2019-02-15,54.999,55.21,54.639,54.89,1582000,0.0,0.0
2019-02-19,54.866,55.132,54.585,55.046,1472500,0.0,0.0
2019-02-20,54.96,55.132,54.749,54.944,2142500,0.0,0.0
2019-02-21,54.733,55.179,54.327,55.148,3050100,0.0,0.0
2019-02-22,54.733,55.163,54.561,54.968,2452900,0.0,0.0
2019-02-25,54.327,54.608,53.998,54.241,2706300,0.0,0.0
2019-02-26,54.342,54.546,53.889,54.467,2623000,0.0,0.0
2019-02-27,54.28,54.506,54.084,54.467,1333500,0.0,0.0
2019-02-28,54.467,54.819,54.131,54.585,2261400,0.0,0.0
2019-03-01,54.655,54.671,53.912,54.53,2684400,0.0,0.0
2019-03-04,55.07,55.07,54.014,54.345,2297300,0.535,0.0
2019-03-05,54.258,54.337,53.88,54.045,2024700,0.0,0.0
2019-03-06,54.187,54.542,53.896,54.423,1921100,0.0,0.0
2019-03-07,54.66,55.007,54.439,54.676,2173700,0.0,0.0
2019-03-08,54.849,55.062,54.447,54.904,1800600,0.0,0.0
2019-03-11,54.967,55.385,54.794,55.377,1904600,0.0,0.0
2019-03-12,55.582,55.747,55.267,55.558,1976600,0.0,0.0
2019-03-13,55.448,55.81,55.377,55.629,1385500,0.0,0.0
2019-03-14,55.747,56.157,55.456,55.881,1977800,0.0,0.0
2019-03-15,55.598,56.701,55.598,56.519,6916700,0.0,0.0
2019-03-18,56.417,56.543,55.897,56.149,2108000,0.0,0.0
2019-03-19,55.999,56.039,55.156,55.314,1690500,0.0,0.0
2019-03-20,55.676,55.858,55.156,55.33,2145900,0.0,0.0
2019-03-21,55.369,55.944,55.077,55.834,1386500,0.0,0.0
2019-03-22,56.094,56.85,55.96,56.488,1482700,0.0,0.0
2019-03-25,56.512,56.724,56.259,56.551,1579600,0.0,0.0
2019-03-26,56.709,56.937,56.37,56.693,1103800,0.0,0.0
2019-03-27,56.764,56.803,55.999,56.125,1511700,0.0,0.0
2019-03-28,56.236,56.362,55.188,55.424,1642600,0.0,0.0
2019-03-29,55.33,55.936,55.109,55.905,2487800,0.0,0.0
2019-04-01,55.897,55.921,55.156,55.692,2113300,0.0,0.0
2019-04-02,55.913,55.913,55.385,55.731,1440100,0.0,0.0
2019-04-03,55.204,55.779,55.148,55.558,1577500,0.0,0.0
2019-04-04,55.913,55.913,55.172,55.44,1576900,0.0,0.0
2019-04-05,55.022,56.039,54.439,56.007,1147300,0.0,0.0
2019-04-08,56.055,56.055,55.534,55.645,1506200,0.0,0.0
2019-04-09,55.668,55.818,55.487,55.771,1377200,0.0,0.0
2019-04-10,56.007,56.259,55.345,55.401,1438800,0.0,0.0
2019-04-11,55.054,55.771,55.054,55.629,1294600,0.0,0.0
2019-04-12,55.393,55.747,55.062,55.692,1181800,0.0,0.0
2019-04-15,55.684,56.023,55.613,55.771,1468000,0.0,0.0
2019-04-16,55.692,56.015,55.141,55.274,1429800,0.0,0.0
2019-04-17,55.259,55.55,55.07,55.322,1350200,0.0,0.0
2019-04-18,55.582,55.716,55.109,55.125,1518900,0.0,0.0
2019-04-22,55.062,55.369,54.983,55.148,1880600,0.0,0.0
2019-04-23,55.314,55.566,55.038,55.471,1983900,0.0,0.0
2019-04-24,55.471,56.007,55.471,55.834,1431700,0.0,0.0
2019-04-25,55.574,56.133,55.456,55.818,1663600,0.0,0.0
2019-04-26,56.33,56.559,55.905,55.96,1098100,0.0,0.0
2019-04-29,55.834,56.055,55.448,55.613,1076700,0.0,0.0
2019-04-30,55.7,56.48,55.55,56.464,1584900,0.0,0.0
2019-05-01,56.244,56.614,55.96,56.047,1644500,0.0,0.0
2019-05-02,56.858,57.126,56.252,56.354,2231900,0.0,0.0
2019-05-03,56.433,56.819,56.228,56.795,896500,0.0,0.0
2019-05-06,56.811,57.024,56.448,56.63,1008900,0.0,0.0
2019-05-07,57.662,57.733,56.125,56.346,1175000,0.0,0.0
2019-05-08,56.259,56.315,55.432,55.471,1284900,0.0,0.0
2019-05-09,55.55,55.85,55.204,55.511,984500,0.0,0.0
2019-05-10,55.519,56.551,55.408,56.543,874600,0.0,0.0
2019-05-13,56.441,57.575,56.165,57.512,1218600,0.0,0.0
2019-05-14,57.402,57.701,56.984,57.197,1377600,0.0,0.0
2019-05-15,57.26,57.552,57.055,57.205,1067100,0.0,0.0
2019-05-16,57.047,57.772,56.953,57.623,1098100,0.0,0.0
2019-05-17,57.205,58.15,57.15,57.938,1139900,0.0,0.0
2019-05-20,58.064,58.371,57.89,58.017,1074500,0.0,0.0
2019-05-21,58.009,58.434,57.82,58.103,1003500,0.0,0.0
2019-05-22,58.25,58.552,58.02,58.528,852600,0.535,0.0
2019-05-23,58.655,59.425,58.345,59.401,1855500,0.0,0.0
2019-05-24,59.464,59.869,59.322,59.433,889800,0.0,0.0
2019-05-28,59.583,59.718,58.734,58.837,1915500,0.0,0.0
2019-05-29,58.964,58.964,57.599,57.853,1387500,0.0,0.0
2019-05-30,57.893,58.314,57.766,58.075,860900,0.0,0.0
2019-05-31,57.615,58.734,57.544,58.607,5976900,0.0,0.0
2019-06-03,58.853,59.425,58.623,59.393,2791700,0.0,0.0
2019-06-04,59.401,59.401,57.829,59.044,3404000,0.0,0.0
2019-06-05,59.433,60.655,59.25,60.576,2306800,0.0,0.0
2019-06-06,60.639,61.385,60.536,60.996,1586900,0.0,0.0
2019-06-07,61.536,61.695,60.56,60.56,1328000,0.0,0.0
2019-06-10,60.417,60.56,59.814,60.337,1095900,0.0,0.0
2019-06-11,60.195,60.496,59.599,59.909,1292100,0.0,0.0
2019-06-12,60.195,60.798,60.195,60.726,849900,0.0,0.0
2019-06-13,60.845,60.957,60.393,60.853,1760200,0.0,0.0
2019-06-14,60.972,61.528,60.79,61.441,1409600,0.0,0.0
2019-06-17,61.465,61.568,60.544,60.718,1605700,0.0,0.0
2019-06-18,61.29,61.29,60.226,60.552,1494500,0.0,0.0
2019-06-19,60.314,61.457,60.203,61.25,1280900,0.0,0.0
2019-06-20,61.48,61.806,60.838,61.536,1764500,0.0,0.0
2019-06-21,61.345,61.615,60.972,61.433,3823500,0.0,0.0
2019-06-24,61.774,61.806,61.234,61.425,1353500,0.0,0.0
2019-06-25,61.496,61.679,60.893,61.099,1640700,0.0,0.0
2019-06-26,61.044,61.052,59.75,59.822,1942400,0.0,0.0
2019-06-27,60.33,60.33,59.679,59.853,1627300,0.0,0.0
2019-06-28,59.814,60.377,59.742,60.131,2590700,0.0,0.0
2019-07-01,60.131,60.139,59.345,60.052,1683700,0.0,0.0
2019-07-02,60.29,61.068,60.179,60.845,1546600,0.0,0.0
2019-07-03,61.036,61.623,61.036,61.211,703700,0.0,0.0
2019-07-05,60.663,61.234,60.076,61.107,1487700,0.0,0.0
2019-07-08,61.179,61.465,60.83,61.147,1876400,0.0,0.0
2019-07-09,61.036,61.179,60.655,61.084,1496700,0.0,0.0
2019-07-10,61.29,61.846,61.036,61.647,1334600,0.0,0.0
2019-07-11,61.687,61.98,61.338,61.957,1912300,0.0,0.0
2019-07-12,61.877,61.957,61.33,61.544,1868300,0.0,0.0
2019-07-15,61.433,61.853,61.195,61.711,1258000,0.0,0.0
2019-07-16,61.187,61.695,60.798,61.187,1811800,0.0,0.0
2019-07-17,61.623,61.83,61.338,61.401,2110500,0.0,0.0
2019-07-18,61.433,62.242,61.068,62.226,1428500,0.0,0.0
2019-07-19,62.004,62.33,60.909,60.933,1904000,0.0,0.0
2019-07-22,61.076,61.25,60.266,61.044,1117300,0.0,0.0
2019-07-23,61.092,61.092,60.52,60.917,1560800,0.0,0.0
2019-07-24,61.028,61.099,60.242,60.655,1797900,0.0,0.0
2019-07-25,60.655,60.869,60.028,60.48,1644000,0.0,0.0
2019-07-26,60.472,60.766,60.218,60.512,1571900,0.0,0.0
2019-07-29,60.75,61.084,60.464,60.965,1039000,0.0,0.0
2019-07-30,60.679,61.322,60.457,60.742,1540100,0.0,0.0
2019-07-31,60.607,60.98,59.869,60.21,1988100,0.0,0.0
2019-08-01,60.115,61.163,60.012,60.75,2484000,0.0,0.0
2019-08-02,60.901,61.711,60.552,60.877,1866500,0.0,0.0
2019-08-05,61.068,61.631,60.433,60.758,2481300,0.0,0.0
2019-08-06,60.671,61.647,59.909,61.465,1639000,0.0,0.0
2019-08-07,61.472,62.195,60.822,61.822,1672100,0.0,0.0
2019-08-08,61.814,62.457,61.274,62.234,1313900,0.0,0.0
2019-08-09,62.417,62.607,62.028,62.25,1155000,0.0,0.0
2019-08-12,62.409,62.441,61.544,61.711,1181900,0.0,0.0
2019-08-13,61.568,62.052,61.282,61.838,1393300,0.0,0.0
2019-08-14,62.06,62.187,61.044,61.242,1885000,0.0,0.0
2019-08-15,61.187,62.79,61.091,62.552,1595000,0.0,0.0
2019-08-16,62.592,62.766,62.187,62.417,1421800,0.0,0.0
2019-08-19,62.449,62.981,62.179,62.679,1338400,0.0,0.0
2019-08-20,62.893,62.957,62.441,62.782,1235100,0.0,0.0
2019-08-21,62.56,63.171,62.449,63.147,930000,0.0,0.0
2019-08-22,63.084,63.425,62.742,63.314,1408200,0.0,0.0
2019-08-23,63.52,63.631,62.584,62.838,1708600,0.0,0.0
2019-08-26,62.917,63.473,62.798,63.449,796400,0.0,0.0
2019-08-27,63.727,64.409,63.631,63.941,1339400,0.0,0.0
2019-08-28,64.171,64.393,63.266,63.727,1300700,0.0,0.0
2019-08-29,63.901,64.147,63.131,63.822,1243200,0.0,0.0
2019-08-30,63.933,64.076,63.504,63.6,1332900,0.0,0.0
2019-09-03,63.52,64.671,63.393,64.663,2007700,0.0,0.0
2019-09-04,65.957,65.957,64.941,65.473,1914400,0.0,0.0
2019-09-05,65.084,65.266,64.266,65.108,2208400,0.0,0.0
2019-09-06,65.171,65.449,65.036,65.362,1704800,0.0,0.0
2019-09-09,64.941,65.433,64.75,64.925,2888700,0.0,0.0
2019-09-10,64.782,64.997,64.25,64.981,2448500,0.0,0.0
2019-09-11,64.631,65.433,64.385,65.219,1692300,0.0,0.0
2019-09-12,65.6,66.052,65.409,65.766,1621600,0.0,0.0
2019-09-13,65.481,65.941,65.298,65.385,1717600,0.0,0.0
2019-09-16,65.56,65.56,65.227,65.433,1083000,0.0,0.0
2019-09-17,65.385,66.219,65.385,65.997,1654000,0.0,0.0
2019-09-18,66.203,66.362,65.703,66.171,1557900,0.0,0.0
2019-09-19,66.551,66.623,66.295,66.487,1918400,0.535,0.0
2019-09-20,66.543,66.798,66.231,66.511,3282200,0.0,0.0
2019-09-23,66.583,66.966,66.335,66.694,1273000,0.0,0.0
2019-09-24,66.958,67.765,66.774,67.629,1934000,0.0,0.0
2019-09-25,67.589,67.749,67.27,67.613,1255800,0.0,0.0
2019-09-26,67.797,68.308,67.629,68.108,1344800,0.0,0.0
2019-09-27,68.252,68.396,67.637,68.172,1420000,0.0,0.0
2019-09-30,68.3,68.644,68.044,68.276,2284600,0.0,0.0
2019-10-01,67.949,68.26,67.525,68.188,1257400,0.0,0.0
2019-10-02,68.204,68.292,67.238,67.437,2092800,0.0,0.0
2019-10-03,67.517,67.669,67.102,67.629,1829600,0.0,0.0
2019-10-04,67.733,68.468,67.565,68.388,1480000,0.0,0.0
2019-10-07,68.148,68.452,67.965,68.196,1430900,0.0,0.0
2019-10-08,68.228,68.364,67.773,67.781,1308700,0.0,0.0
2019-10-09,67.845,68.907,67.845,68.771,1818800,0.0,0.0
2019-10-10,68.412,68.668,67.757,68.332,1497000,0.0,0.0
2019-10-11,68.06,68.7,67.821,68.356,1148100,0.0,0.0
2019-10-14,68.532,68.604,67.677,67.709,847400,0.0,0.0
2019-10-15,67.813,68.013,66.934,67.174,1678700,0.0,0.0
2019-10-16,67.078,67.661,66.758,67.565,1474300,0.0,0.0
2019-10-17,67.533,68.164,67.477,67.997,1065700,0.0,0.0
2019-10-18,67.837,68.508,67.541,68.38,1250300,0.0,0.0
2019-10-21,68.42,68.851,68.156,68.811,1569700,0.0,0.0
2019-10-22,68.987,69.131,68.436,68.588,946500,0.0,0.0
2019-10-23,68.739,68.891,68.308,68.747,1245400,0.0,0.0
2019-10-24,68.715,69.123,68.596,68.859,804000,0.0,0.0
2019-10-25,68.963,69.139,68.06,68.148,1417000,0.0,0.0
2019-10-28,67.757,68.02,66.766,66.982,1370000,0.0,0.0
2019-10-29,66.079,66.399,65.672,66.223,2104300,0.0,0.0
2019-10-30,66.367,66.926,66.047,66.495,2185000,0.0,0.0
2019-10-31,66.615,67.142,66.271,66.894,1556800,0.0,0.0
2019-11-01,66.974,67.086,66.055,66.135,1556100,0.0,0.0
2019-11-04,65.991,66.087,64.705,65.041,1574200,0.0,0.0
2019-11-05,64.745,65.249,64.33,64.769,2167600,0.0,0.0
2019-11-06,64.777,65.201,64.45,65.017,1906100,0.0,0.0
2019-11-07,64.45,64.793,62.884,63.419,2050800,0.0,0.0
2019-11-08,63.204,63.587,62.772,63.435,1324600,0.0,0.0
2019-11-11,63.411,63.547,63.044,63.339,1442800,0.0,0.0
2019-11-12,63.323,63.531,63.028,63.259,1413700,0.0,0.0
2019-11-13,63.531,64.649,63.339,64.633,1809800,0.0,0.0
2019-11-14,64.833,64.849,64.41,64.546,2512000,0.0,0.0
