Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2019/01/02,57.835,58.372,57.305,58.065,15120125,0.0,0.0
2019/01/03,58.042,58.357,56.729,56.874,13910628,0.0,0.0
2019/01/04,57.412,58.764,57.335,58.587,14753115,0.0,0.0
2019/01/07,58.495,58.741,57.927,57.942,15795142,0.0,0.0
2019/01/08,58.28,58.541,57.835,58.372,11896686,0.0,0.0
2019/01/09,58.296,58.618,57.858,57.927,11916284,0.0,0.0
2019/01/10,58.134,58.134,56.437,57.212,19134070,0.0,0.0
2019/01/11,57.381,57.566,56.959,57.535,9878029,0.0,0.0
2019/01/14,57.067,57.182,56.152,56.36,15669486,0.0,0.0
2019/01/15,56.152,57.527,56.152,57.228,13102096,0.0,0.0
2019/01/16,57.412,58.203,57.205,57.312,15272504,0.0,0.0
2019/01/17,57.082,58.203,57.082,58.073,16969321,0.0,0.0
2019/01/18,58.488,58.634,57.973,58.28,14980741,0.0,0.0
2019/01/22,58.05,58.534,57.888,58.249,10568766,0.0,0.0
2019/01/23,58.034,58.157,57.412,57.95,14369233,0.0,0.0
2019/01/24,57.735,57.735,55.599,56.206,21986621,0.0,0.0
2019/01/25,56.705,56.721,55.4,56.037,14054099,0.0,0.0
2019/01/28,55.692,56.129,55.346,56.014,13376672,0.0,0.0
2019/01/29,55.999,56.598,55.799,56.252,11966693,0.0,0.0
2019/01/30,56.429,56.698,56.091,56.36,13941230,0.0,0.0
2019/01/31,56.191,57.474,56.16,57.174,16797658,0.0,0.0
2019/02/01,58.357,59.525,57.865,58.726,15941757,0.0,0.0
2019/02/04,58.342,59.064,58.134,59.048,11824165,0.0,0.0
2019/02/05,59.44,60.208,59.194,59.263,12955690,0.0,0.0
2019/02/06,59.025,59.701,58.864,59.448,8375721,0.0,0.0
2019/02/07,59.102,59.248,58.465,59.01,9661407,0.0,0.0
2019/02/08,58.956,59.563,58.818,59.548,9266940,0.0,0.0
2019/02/11,59.763,59.793,58.541,58.925,13803942,0.0,0.0
2019/02/12,59.371,60.631,59.233,60.316,13676086,0.0,0.0
2019/02/13,60.347,60.815,60.262,60.7,10980106,0.0,0.0
2019/02/14,60.784,61.107,60.446,60.638,8577042,0.0,0.0
2019/02/15,61.192,61.553,60.892,61.307,10886100,0.0,0.0
2019/02/19,61.291,61.553,60.746,60.869,9653547,0.0,0.0
2019/02/20,60.685,61.099,60.539,61.015,8993517,0.0,0.0
2019/02/21,60.823,61.476,60.8,61.322,7740633,0.0,0.0
2019/02/22,61.276,62.113,61.276,62.044,8337469,0.0,0.0
2019/02/25,62.113,62.213,61.445,61.745,9741265,0.0,0.0
2019/02/26,61.852,62.298,61.453,62.021,8927912,0.0,0.0
2019/02/27,61.868,62.444,61.783,61.929,7852978,0.0,0.0
2019/02/28,61.86,62.805,61.86,62.444,11588365,0.0,0.0
2019/03/01,62.805,62.935,62.351,62.72,10624205,0.0,0.0
2019/03/04,63.012,63.081,61.86,62.505,8522755,0.0,0.0
2019/03/05,62.59,63.012,62.39,62.759,8698190,0.0,0.0
2019/03/06,62.682,62.805,61.683,62.037,8167169,0.0,0.0
2019/03/07,62.244,62.305,61.483,61.798,10925505,0.0,0.0
2019/03/08,61.614,61.914,60.723,61.299,11716326,0.0,0.0
2019/03/11,61.729,62.244,61.506,62.121,9126613,0.0,0.0
2019/03/12,62.351,62.651,62.052,62.398,9261281,0.0,0.0
2019/03/13,62.689,62.997,62.367,62.682,8059749,0.0,0.0
2019/03/14,62.883,63.231,62.589,63.022,8530406,0.525,0.0
2019/03/15,63.03,63.347,62.488,63.084,17341046,0.0,0.0
2019/03/18,62.852,63.285,62.581,62.914,14357914,0.0,0.0
2019/03/19,63.061,63.416,62.612,63.347,10224393,0.0,0.0
2019/03/20,63.3,63.973,62.937,63.478,11894590,0.0,0.0
2019/03/21,63.494,64.321,63.3,64.151,9473291,0.0,0.0
2019/03/22,64.12,64.538,63.432,63.641,10639191,0.0,0.0
2019/03/25,63.471,63.996,63.355,63.687,7878654,0.0,0.0
2019/03/26,64.004,64.553,63.857,64.128,9242731,0.0,0.0
2019/03/27,64.128,64.236,63.27,63.641,10020766,0.0,0.0
2019/03/28,64.027,64.113,63.556,63.904,7161298,0.0,0.0
2019/03/29,64.19,64.422,63.966,64.321,10147994,0.0,0.0
2019/04/01,64.754,64.847,64.143,64.422,8820282,0.0,0.0
2019/04/02,64.546,64.747,64.112,64.352,5875088,0.0,0.0
2019/04/03,64.399,64.7,63.996,64.329,6550734,0.0,0.0
2019/04/04,64.198,64.345,62.805,63.3,10257719,0.0,0.0
2019/04/05,63.393,63.54,62.728,62.759,10324162,0.0,0.0
2019/04/08,62.612,62.844,62.14,62.604,10586267,0.0,0.0
2019/04/09,62.311,62.628,62.071,62.488,10785282,0.0,0.0
2019/04/10,62.535,62.891,62.372,62.504,6894268,0.0,0.0
2019/04/11,62.589,62.589,61.398,61.746,10410518,0.0,0.0
2019/04/12,61.877,62.21,61.328,61.429,10164762,0.0,0.0
2019/04/15,61.336,61.475,60.686,60.733,13822491,0.0,0.0
2019/04/16,61.274,61.321,59.874,59.983,12531250,0.0,0.0
2019/04/17,60.021,60.029,57.036,57.168,34181463,0.0,0.0
2019/04/18,56.827,57.268,55.861,56.603,32768445,0.0,0.0
2019/04/22,56.58,57.083,56.255,56.812,14548441,0.0,0.0
2019/04/23,56.997,58.196,56.765,57.694,19281523,0.0,0.0
2019/04/24,57.794,58.088,57.214,57.794,12779102,0.0,0.0
2019/04/25,57.678,59.41,57.585,59.039,13994154,0.0,0.0
2019/04/26,59.271,59.542,58.846,59.263,8888193,0.0,0.0
2019/04/29,59.233,59.689,59.147,59.379,7395317,0.0,0.0
2019/04/30,59.983,61.019,58.776,60.872,11269039,0.0,0.0
2019/05/01,60.857,61.661,60.656,60.88,15288643,0.0,0.0
2019/05/02,60.795,61.738,60.795,61.499,11579142,0.0,0.0
2019/05/03,61.514,61.978,61.29,61.87,7942582,0.0,0.0
2019/05/06,60.733,61.707,60.555,61.468,9906534,0.0,0.0
2019/05/07,61.011,61.321,59.874,60.246,10523387,0.0,0.0
2019/05/08,60.578,60.872,60.246,60.462,10567508,0.0,0.0
2019/05/09,60.076,60.717,59.735,60.578,8105861,0.0,0.0
2019/05/10,60.385,60.578,59.403,60.47,9027158,0.0,0.0
2019/05/13,59.41,59.96,59.41,59.681,9641705,0.0,0.0
2019/05/14,60.029,60.385,59.828,59.874,8113826,0.0,0.0
2019/05/15,59.449,60.23,59.395,59.975,7284543,0.0,0.0
2019/05/16,60.145,61.785,60.114,61.197,9910831,0.0,0.0
2019/05/17,60.64,61.15,60.207,60.88,8259707,0.0,0.0
2019/05/20,60.601,61.305,60.516,61.004,8281191,0.0,0.0
2019/05/21,61.158,61.661,60.733,61.483,10873734,0.0,0.0
2019/05/22,61.367,62.759,61.336,62.628,13491847,0.0,0.0
2019/05/23,62.334,62.79,62.187,62.659,9831498,0.0,0.0
