Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2019/01/02,214.313,219.102,210.678,218.933,1637900,0.0,0.0
2019/01/03,217.512,217.769,211.762,213.202,1703900,0.0,0.0
2019/01/04,216.268,220.338,215.512,220.293,1127800,0.0,0.0
2019/01/07,220.027,223.368,217.725,222.008,1388500,0.0,0.0
2019/01/08,223.403,225.172,220.391,223.012,1082400,0.0,0.0
2019/01/09,222.968,225.003,221.697,224.07,727700,0.0,0.0
2019/01/10,223.119,229.135,222.47,228.966,1063700,0.0,0.0
2019/01/11,226.816,227.678,224.328,227.535,668200,0.0,0.0
2019/01/14,227.935,233.587,226.505,231.01,982700,0.0,0.0
2019/01/15,231.294,232.752,226.94,230.104,965400,0.0,0.0
2019/01/16,230.317,230.317,227.145,227.26,668700,0.0,0.0
2019/01/17,226.496,237.151,226.211,234.671,1438600,0.0,0.0
2019/01/18,236.653,240.376,236.013,237.933,1507000,0.0,0.0
2019/01/22,237.186,238.395,233.507,235.249,531300,0.0,0.0
2019/01/23,237.195,242.936,236.377,240.136,1027400,0.0,0.0
2019/01/24,240.519,241.443,237.177,239.772,858400,0.0,0.0
2019/01/25,242.847,243.709,240.821,242.456,966300,0.0,0.0
2019/01/28,239.781,243.931,238.048,243.753,761900,0.0,0.0
2019/01/29,243.691,250.142,242.918,248.934,1555000,0.0,0.0
2019/01/30,249.289,251.635,245.379,249.547,1346900,0.0,0.0
2019/01/31,241.416,252.862,239.488,244.864,2021800,0.0,0.0
2019/02/01,246.072,247.903,242.189,242.562,1581300,0.0,0.0
2019/02/04,242.58,247.85,242.269,247.69,1316000,0.0,0.0
2019/02/05,248.818,249.885,244.073,247.45,841400,0.0,0.0
2019/02/06,247.397,250.276,247.228,249.183,888500,0.0,0.0
2019/02/07,248.383,249.849,245.059,247.512,872400,0.0,0.0
2019/02/08,246.543,249.449,245.744,249.369,726500,0.0,0.0
2019/02/11,249.627,251.582,249.227,250.125,1190900,0.0,0.0
2019/02/12,251.28,253.199,250.187,252.444,680000,0.0,0.0
2019/02/13,254.106,254.221,251.28,251.751,1254000,0.0,0.0
2019/02/14,250.24,250.622,248.036,249.352,842800,0.0,0.0
2019/02/15,251.849,255.101,251.084,255.021,929500,0.0,0.0
2019/02/19,254.141,255.679,252.888,255.35,651000,0.0,0.0
2019/02/20,255.785,256.31,254.426,256.123,1025200,0.0,0.0
2019/02/21,256.265,256.381,253.795,255.483,608900,0.0,0.0
2019/02/22,257.0,257.803,255.216,257.634,613800,1.2,0.0
2019/02/25,258.785,258.937,255.688,256.152,548300,0.0,0.0
2019/02/26,255.867,257.919,255.019,255.706,530300,0.0,0.0
2019/02/27,254.948,256.429,253.77,255.903,809000,0.0,0.0
2019/02/28,255.394,260.168,255.215,258.749,1037800,0.0,0.0
2019/03/01,259.677,259.99,254.876,256.108,790000,0.0,0.0
2019/03/04,256.59,259.079,251.735,252.628,704800,0.0,0.0
2019/03/05,253.234,254.287,251.914,252.422,667800,0.0,0.0
2019/03/06,252.815,254.278,250.2,250.272,547200,0.0,0.0
2019/03/07,249.87,249.87,243.65,246.685,1307100,0.0,0.0
2019/03/08,245.855,246.444,243.088,246.256,636700,0.0,0.0
2019/03/11,244.471,249.299,243.24,249.165,758700,0.0,0.0
2019/03/12,249.335,249.861,244.873,245.551,1016300,0.0,0.0
2019/03/13,245.417,250.424,244.873,249.112,896800,0.0,0.0
2019/03/14,248.469,250.049,244.793,245.176,804000,0.0,0.0
2019/03/15,244.775,245.855,241.009,242.017,2701600,0.0,0.0
2019/03/18,242.178,246.131,241.491,245.301,1204000,0.0,0.0
2019/03/19,246.336,248.657,241.446,241.839,1029500,0.0,0.0
2019/03/20,241.839,243.41,239.608,241.348,869100,0.0,0.0
2019/03/21,240.34,244.248,240.242,243.151,612400,0.0,0.0
2019/03/22,242.713,242.713,238.439,239.474,830100,0.0,0.0
2019/03/25,240.054,240.955,238.127,239.688,557300,0.0,0.0
2019/03/26,241.473,242.151,235.512,237.234,1070800,0.0,0.0
2019/03/27,237.199,239.599,234.95,235.512,809700,0.0,0.0
2019/03/28,236.601,238.778,235.423,238.261,1080300,0.0,0.0
2019/03/29,239.903,241.518,239.215,240.581,935000,0.0,0.0
2019/04/01,241.946,245.953,241.946,244.605,759200,0.0,0.0
2019/04/02,244.819,245.881,243.258,243.909,542700,0.0,0.0
2019/04/03,244.4,244.4,236.03,238.046,1321500,0.0,0.0
2019/04/04,238.716,243.704,238.029,241.839,1129100,0.0,0.0
2019/04/05,245.221,246.613,242.919,246.56,734400,0.0,0.0
2019/04/08,245.399,247.381,244.043,247.095,607600,0.0,0.0
2019/04/09,245.64,246.488,243.347,244.034,484200,0.0,0.0
2019/04/10,243.597,244.391,240.42,241.411,774500,0.0,0.0
2019/04/11,242.767,248.005,242.294,247.532,661900,0.0,0.0
2019/04/12,248.309,252.851,248.309,252.583,1108700,0.0,0.0
2019/04/15,252.467,253.109,250.04,250.058,474400,0.0,0.0
2019/04/16,250.307,251.887,249.558,251.298,608800,0.0,0.0
2019/04/17,252.949,253.252,248.683,248.764,665800,0.0,0.0
2019/04/18,249.21,252.181,248.175,250.896,545600,0.0,0.0
2019/04/22,250.031,252.779,248.755,252.44,494900,0.0,0.0
2019/04/23,256.732,263.175,256.492,261.114,1678900,0.0,0.0
2019/04/24,258.383,259.186,248.3,249.861,2439300,0.0,0.0
2019/04/25,249.326,250.834,244.239,249.138,1298400,0.0,0.0
2019/04/26,249.736,254.18,247.755,252.654,953200,0.0,0.0
2019/04/29,253.065,256.724,252.083,255.215,954400,0.0,0.0
2019/04/30,257.42,259.41,255.679,258.705,931000,0.0,0.0
2019/05/01,258.731,261.399,257.857,258.169,825800,0.0,0.0
2019/05/02,257.437,259.784,255.831,258.722,1028100,0.0,0.0
2019/05/03,259.722,260.784,259.079,260.605,974800,0.0,0.0
2019/05/06,256.554,260.9,255.903,259.981,549000,0.0,0.0
2019/05/07,258.365,258.633,253.93,257.339,731800,0.0,0.0
2019/05/08,257.223,260.141,256.741,259.285,667700,0.0,0.0
2019/05/09,256.813,264.362,256.224,263.247,1125400,0.0,0.0
2019/05/10,262.917,268.601,262.292,268.422,1418000,0.0,0.0
2019/05/13,263.265,264.79,260.73,263.675,987000,0.0,0.0
2019/05/14,263.978,267.682,262.8,263.818,1256900,0.0,0.0
2019/05/15,262.185,264.844,259.945,262.792,619700,0.0,0.0
2019/05/16,264.362,273.375,263.925,271.912,1045900,0.0,0.0
2019/05/17,270.243,275.499,269.101,273.678,1172000,0.0,0.0
2019/05/20,273.33,281.103,273.072,280.719,1427500,0.0,0.0
2019/05/21,281.21,283.325,276.275,282.2,1385300,0.0,0.0
2019/05/22,281.754,282.932,280.532,282.548,952100,0.0,0.0
2019/05/23,279.934,280.389,274.946,277.605,1116900,0.0,0.0
2019/05/24,278.792,280.915,276.427,278.479,723700,0.0,0.0
2019/05/28,277.417,279.086,274.49,275.053,1419600,0.0,0.0
2019/05/29,273.759,274.598,271.01,273.072,582000,0.0,0.0
2019/05/30,273.937,277.721,273.937,276.463,1099500,0.0,0.0
2019/05/31,272.941,275.871,271.659,271.767,667700,1.32,0.0
2019/06/03,271.552,276.364,271.552,275.073,746500,0.0,0.0
2019/06/04,275.907,281.177,275.808,279.85,796700,0.0,0.0
2019/06/05,281.311,284.08,280.092,283.883,703000,0.0,0.0
2019/06/06,283.892,284.376,281.741,282.135,595000,0.0,0.0
