Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2019-01-02,37.626,38.462,37.576,38.411,4022100,0.0,0.0
2019-01-03,38.284,38.462,37.365,37.441,4239700,0.0,0.0
2019-01-04,37.989,38.183,37.711,37.905,4761500,0.0,0.0
2019-01-07,37.879,38.495,37.711,38.107,3414400,0.0,0.0
2019-01-08,38.403,38.538,37.829,38.225,3017000,0.0,0.0
2019-01-09,38.386,38.647,38.099,38.141,4501100,0.0,0.0
2019-01-10,38.192,38.715,38.158,38.622,3734400,0.0,0.0
2019-01-11,38.58,38.689,38.268,38.554,2381800,0.0,0.0
2019-01-14,38.344,39.086,38.327,38.757,3603200,0.0,0.0
2019-01-15,38.69,39.263,38.681,39.154,4011900,0.0,0.0
2019-01-16,39.449,39.778,39.289,39.5,3544700,0.0,0.0
2019-01-17,39.322,39.981,39.305,39.93,3449600,0.0,0.0
2019-01-18,40.132,40.36,39.896,40.251,5387900,0.0,0.0
2019-01-22,40.158,40.546,39.829,39.989,5943600,0.0,0.0
2019-01-23,40.293,40.47,39.778,40.2,2933100,0.0,0.0
2019-01-24,40.048,40.343,39.905,39.938,2730100,0.0,0.0
2019-01-25,40.276,40.402,40.014,40.141,2891300,0.0,0.0
2019-01-28,39.997,40.107,39.677,39.955,3255800,0.0,0.0
2019-01-29,39.947,40.09,39.694,39.753,2645500,0.0,0.0
2019-01-30,39.795,40.301,39.626,39.981,4422100,0.0,0.0
2019-01-31,39.719,40.808,39.66,40.251,7986900,0.0,0.0
2019-02-01,40.335,41.002,39.989,40.453,5461700,0.0,0.0
2019-02-04,40.639,40.639,40.149,40.521,4140900,0.0,0.0
2019-02-05,40.478,40.74,40.343,40.689,3358600,0.0,0.0
2019-02-06,40.63,40.976,40.554,40.841,3702200,0.0,0.0
2019-02-07,40.588,40.976,40.411,40.883,2789400,0.0,0.0
2019-02-08,40.672,40.841,40.234,40.656,2641300,0.0,0.0
2019-02-11,40.765,40.808,40.36,40.732,3303300,0.0,0.0
2019-02-12,40.917,41.407,40.85,41.297,2554300,0.0,0.0
2019-02-13,41.398,41.643,41.204,41.364,2104900,0.0,0.0
2019-02-14,41.035,41.288,40.892,41.01,2429800,0.0,0.0
2019-02-15,41.331,41.668,41.305,41.584,3380400,0.0,0.0
2019-02-19,41.516,41.737,41.491,41.567,2902700,0.27,0.0
2019-02-20,41.575,41.762,41.482,41.677,2967700,0.0,0.0
2019-02-21,41.703,41.779,41.321,41.49,3898800,0.0,0.0
2019-02-22,41.592,41.626,41.253,41.363,2923200,0.0,0.0
2019-02-25,41.541,41.821,41.423,41.541,3081600,0.0,0.0
2019-02-26,41.474,41.813,41.44,41.499,2347200,0.0,0.0
2019-02-27,41.423,41.949,41.185,41.567,2783000,0.0,0.0
2019-02-28,41.575,42.042,41.482,41.694,4440300,0.0,0.0
2019-03-01,41.923,42.067,41.635,41.72,3062300,0.0,0.0
2019-03-04,41.754,42.178,41.355,41.626,2672600,0.0,0.0
2019-03-05,41.677,41.855,41.431,41.703,2434000,0.0,0.0
2019-03-06,41.652,41.889,41.516,41.533,2187500,0.0,0.0
2019-03-07,41.406,41.541,41.083,41.261,2957500,0.0,0.0
2019-03-08,41.024,41.261,40.88,41.194,2542300,0.0,0.0
2019-03-11,41.397,41.652,41.27,41.635,2236200,0.0,0.0
2019-03-12,41.72,41.872,41.558,41.711,2530600,0.0,0.0
2019-03-13,41.804,42.093,41.737,41.906,2381400,0.0,0.0
2019-03-14,41.872,42.169,41.813,42.169,2376800,0.0,0.0
2019-03-15,41.991,42.551,41.991,42.381,6845500,0.0,0.0
2019-03-18,42.517,42.78,42.381,42.636,2897600,0.0,0.0
2019-03-19,42.848,42.984,42.415,42.509,2448600,0.0,0.0
2019-03-20,42.475,42.678,41.906,41.966,3006100,0.0,0.0
2019-03-21,41.787,42.466,41.694,42.398,3080700,0.0,0.0
2019-03-22,42.127,42.415,41.932,41.966,3596700,0.0,0.0
2019-03-25,42.0,42.195,41.804,42.017,2244100,0.0,0.0
2019-03-26,42.347,42.543,42.0,42.28,2212700,0.0,0.0
2019-03-27,42.263,42.441,42.101,42.271,2318900,0.0,0.0
2019-03-28,42.339,42.526,41.932,42.169,1983300,0.0,0.0
2019-03-29,42.424,42.458,42.161,42.424,4071100,0.0,0.0
2019-04-01,42.687,42.814,42.229,42.322,4066200,0.0,0.0
2019-04-02,42.237,42.288,41.771,41.787,3630100,0.0,0.0
2019-04-03,42.042,42.042,40.973,41.372,5489300,0.0,0.0
2019-04-04,41.448,41.618,41.287,41.389,2525200,0.0,0.0
2019-04-05,41.55,41.626,41.423,41.575,3149900,0.0,0.0
2019-04-08,41.677,41.804,41.499,41.677,3303600,0.0,0.0
2019-04-09,41.626,41.745,41.431,41.609,3082000,0.0,0.0
2019-04-10,41.516,41.787,41.406,41.754,2493300,0.0,0.0
2019-04-11,41.881,42.05,41.703,41.889,3147200,0.0,0.0
2019-04-12,42.246,42.254,41.635,42.008,3611500,0.0,0.0
2019-04-15,42.05,42.118,41.397,41.533,4309000,0.0,0.0
2019-04-16,41.609,42.101,41.44,42.076,3326600,0.0,0.0
2019-04-17,42.22,42.22,41.516,41.609,3103300,0.0,0.0
2019-04-18,41.558,41.796,41.363,41.507,4271900,0.0,0.0
2019-04-22,41.304,41.465,41.109,41.202,2234000,0.0,0.0
2019-04-23,41.278,41.804,41.151,41.499,3495000,0.0,0.0
2019-04-24,41.414,41.584,41.304,41.482,2436800,0.0,0.0
2019-04-25,41.27,41.754,41.227,41.728,2939300,0.0,0.0
2019-04-26,41.923,42.441,41.295,42.025,2853600,0.0,0.0
2019-04-29,42.169,42.509,42.135,42.186,2563200,0.0,0.0
2019-04-30,42.246,42.763,42.186,42.746,4202800,0.0,0.0
2019-05-01,42.857,43.035,42.534,42.61,3472900,0.0,0.0
2019-05-02,42.602,42.907,42.398,42.636,2559200,0.0,0.0
2019-05-03,42.687,43.009,42.653,42.84,2249700,0.0,0.0
2019-05-06,42.347,43.001,42.186,42.865,2306300,0.0,0.0
2019-05-07,42.627,42.882,42.347,42.517,2950300,0.0,0.0
2019-05-08,42.39,42.975,42.356,42.627,2641700,0.0,0.0
2019-05-09,42.339,42.916,42.339,42.84,3091500,0.0,0.0
2019-05-10,42.721,43.578,42.577,43.501,3742000,0.0,0.0
2019-05-13,42.916,43.162,42.56,42.823,4021300,0.0,0.0
2019-05-14,42.899,43.637,42.848,43.383,3154600,0.0,0.0
2019-05-15,43.052,43.714,43.035,43.535,3574900,0.0,0.0
2019-05-16,43.663,44.35,43.603,44.061,2456800,0.0,0.0
2019-05-17,43.739,44.494,43.637,44.274,2905700,0.0,0.0
2019-05-20,44.24,44.503,44.019,44.257,3161300,0.0,0.0
2019-05-21,44.35,44.555,44.18,44.308,2556100,0.27,0.0
2019-05-22,44.257,44.606,44.043,44.529,2177200,0.0,0.0
2019-05-23,44.248,44.257,43.677,43.941,2607800,0.0,0.0
2019-05-24,44.009,44.436,44.009,44.359,2540200,0.0,0.0
2019-05-28,44.274,44.598,43.753,43.753,4302100,0.0,0.0
2019-05-29,43.753,43.932,43.532,43.864,2603800,0.0,0.0
2019-05-30,43.915,44.282,43.839,43.984,1907300,0.0,0.0
2019-05-31,43.728,44.086,43.591,43.753,2448700,0.0,0.0
2019-06-03,43.719,44.751,43.617,44.717,4181400,0.0,0.0
2019-06-04,45.118,45.289,44.743,45.203,3319600,0.0,0.0
2019-06-05,45.28,45.962,45.212,45.851,3046600,0.0,0.0
2019-06-06,45.979,46.065,45.647,45.903,3297700,0.0,0.0
2019-06-07,46.056,46.679,46.022,46.525,2343700,0.0,0.0
2019-06-10,46.815,46.892,46.303,46.355,2942900,0.0,0.0
2019-06-11,46.542,46.721,45.988,46.09,2685200,0.0,0.0
2019-06-12,46.218,46.611,46.218,46.38,2571000,0.0,0.0
2019-06-13,46.508,46.687,46.321,46.457,2890900,0.0,0.0
2019-06-14,46.542,47.003,46.338,46.943,2923600,0.0,0.0
2019-06-17,47.02,47.105,46.483,46.525,1769600,0.0,0.0
2019-06-18,46.662,47.173,46.602,46.841,2554900,0.0,0.0
2019-06-19,47.063,47.293,46.926,47.028,2619300,0.0,0.0
2019-06-20,47.31,47.327,46.593,47.199,3248600,0.0,0.0
2019-06-21,47.19,47.48,46.832,46.866,4826900,0.0,0.0
2019-06-24,46.875,47.182,46.764,46.926,3910700,0.0,0.0
2019-06-25,46.994,47.216,46.798,46.866,2674500,0.0,0.0
2019-06-26,46.866,46.9,46.201,46.261,2779200,0.0,0.0
2019-06-27,46.363,46.849,46.363,46.525,2979300,0.0,0.0
2019-06-28,46.738,46.875,46.576,46.747,3337200,0.0,0.0
2019-07-01,47.327,47.625,47.045,47.608,2890000,0.0,0.0
2019-07-02,47.736,47.967,47.515,47.941,2560800,0.0,0.0
2019-07-03,48.129,48.555,48.095,48.487,1599400,0.0,0.0
2019-07-05,48.538,48.581,48.205,48.453,2153500,0.0,0.0
2019-07-08,48.342,48.564,48.24,48.316,1855700,0.0,0.0
2019-07-09,48.043,48.402,47.975,48.214,2536200,0.0,0.0
2019-07-10,48.265,48.683,48.077,48.197,2202900,0.0,0.0
2019-07-11,48.231,48.308,47.822,48.069,2830900,0.0,0.0
2019-07-12,48.308,48.581,48.052,48.521,2209100,0.0,0.0
2019-07-15,48.743,48.768,48.205,48.248,3026600,0.0,0.0
2019-07-16,47.958,48.282,47.591,47.856,3330500,0.0,0.0
2019-07-17,47.864,47.924,47.327,47.455,2843700,0.0,0.0
2019-07-18,47.583,47.941,47.361,47.873,2136500,0.0,0.0
2019-07-19,48.077,48.18,46.875,46.909,3987600,0.0,0.0
2019-07-22,46.952,47.225,46.73,46.96,3105700,0.0,0.0
2019-07-23,46.952,47.088,46.534,47.071,2388900,0.0,0.0
2019-07-24,47.011,47.08,45.596,45.988,6052000,0.0,0.0
2019-07-25,45.937,46.124,45.613,45.86,3158300,0.0,0.0
2019-07-26,45.886,46.056,45.084,45.962,4372900,0.0,0.0
2019-07-29,45.834,45.92,44.99,45.169,3568100,0.0,0.0
2019-07-30,45.058,45.434,44.913,45.101,2697700,0.0,0.0
2019-07-31,45.041,45.493,44.555,44.896,5368700,0.0,0.0
2019-08-01,44.845,45.527,44.436,44.615,4429000,0.0,0.0
2019-08-02,44.598,45.092,44.171,44.802,3600900,0.0,0.0
2019-08-05,44.299,44.649,43.625,43.804,4235700,0.0,0.0
2019-08-06,43.856,44.402,43.489,44.376,3750200,0.0,0.0
2019-08-07,43.915,44.7,43.446,44.444,3378200,0.0,0.0
2019-08-08,44.743,45.22,44.674,45.101,2968600,0.0,0.0
2019-08-09,45.118,45.263,44.692,45.101,2279800,0.0,0.0
2019-08-12,44.862,45.365,44.581,44.623,1999100,0.0,0.0
2019-08-13,44.495,45.306,44.376,45.135,2745600,0.0,0.0
2019-08-14,44.521,44.939,43.711,43.736,3354900,0.0,0.0
2019-08-15,43.907,44.547,43.907,44.41,2790500,0.0,0.0
2019-08-16,44.709,45.058,44.555,44.905,2738300,0.0,0.0
2019-08-19,45.399,45.51,44.913,44.93,2677700,0.0,0.0
2019-08-20,44.69,45.059,44.407,44.459,2558100,0.27,0.0
2019-08-21,43.722,43.722,41.981,41.99,8496800,0.0,0.0
2019-08-22,42.05,42.573,41.501,42.444,5260500,0.0,0.0
2019-08-23,42.307,42.513,41.27,41.458,4366800,0.0,0.0
2019-08-26,41.733,42.058,41.578,41.964,3295100,0.0,0.0
2019-08-27,42.11,42.444,41.767,41.99,3849300,0.0,0.0
2019-08-28,41.836,42.178,41.801,42.11,3194700,0.0,0.0
2019-08-29,42.496,42.796,42.35,42.521,3264000,0.0,0.0
2019-08-30,42.796,43.139,42.659,43.019,3867900,0.0,0.0
2019-09-03,42.65,43.233,42.521,43.19,3775100,0.0,0.0
2019-09-04,43.542,43.627,43.396,43.542,2916100,0.0,0.0
