Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2019-01-02,39.416,41.796,39.408,41.633,21646300,0.0,0.0
2019-01-03,41.539,41.703,40.614,40.878,21183000,0.0,0.0
2019-01-04,42.006,43.071,41.734,42.877,24205100,0.0,0.0
2019-01-07,43.033,43.717,42.62,43.25,20634100,0.0,0.0
2019-01-08,43.577,43.701,42.589,43.134,18840100,0.0,0.0
2019-01-09,43.328,44.129,43.25,43.849,19359100,0.0,0.0
2019-01-10,43.546,44.3,43.32,43.896,16910000,0.0,0.0
2019-01-11,43.911,44.658,43.577,44.09,23087500,0.0,0.0
2019-01-14,43.631,46.12,43.32,45.832,34783400,0.0,0.0
2019-01-15,46.579,48.08,46.315,47.738,42694200,0.0,0.0
2019-01-16,48.181,48.858,47.629,48.368,27628900,0.0,0.0
2019-01-17,47.932,48.803,47.699,48.586,22728900,0.0,0.0
2019-01-18,48.889,49.146,48.228,49.091,19947300,0.0,0.0
2019-01-22,48.741,48.85,47.777,48.104,24608700,0.0,0.0
2019-01-23,48.43,48.593,47.559,48.321,16819800,0.0,0.0
2019-01-24,48.018,48.936,48.018,48.772,14962200,0.0,0.0
2019-01-25,49.255,50.126,49.177,49.791,15827200,0.0,0.0
2019-01-28,49.146,49.822,49.076,49.659,12683500,0.0,0.0
2019-01-29,49.55,49.83,49.115,49.161,13472000,0.0,0.0
2019-01-30,49.356,50.351,48.99,49.947,15929600,0.0,0.0
2019-01-31,49.503,50.242,49.496,50.133,19442600,0.0,0.0
2019-02-01,50.321,50.643,49.804,49.867,16991700,0.45,0.0
2019-02-04,49.734,50.173,49.499,50.173,11515500,0.0,0.0
2019-02-05,50.274,50.282,49.616,49.977,13310900,0.0,0.0
2019-02-06,49.992,50.603,49.781,50.039,13774300,0.0,0.0
2019-02-07,49.82,49.836,48.489,49.194,17922400,0.0,0.0
2019-02-08,48.661,48.966,47.784,48.567,15770800,0.0,0.0
2019-02-11,48.88,48.896,48.105,48.254,14614100,0.0,0.0
2019-02-12,48.677,49.609,48.677,49.084,14347400,0.0,0.0
