Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2019-01-02,35.43,38.24,34.64,37.95,830500,0.0,0.0
2019-01-03,37.31,38.42,36.72,37.38,856200,0.0,0.0
2019-01-04,38.28,39.58,36.87,39.45,1066500,0.0,0.0
2019-01-07,39.87,41.18,39.22,40.8,1084500,0.0,0.0
2019-01-08,41.27,42.2,40.57,42.18,855900,0.0,0.0
2019-01-09,42.38,42.73,41.11,42.15,1580600,0.0,0.0
2019-01-10,41.95,42.8,41.28,42.68,1117100,0.0,0.0
2019-01-11,42.42,43.34,41.89,42.85,1062700,0.0,0.0
2019-01-14,42.52,42.83,41.78,42.06,611100,0.0,0.0
2019-01-15,42.07,42.33,41.196,42.04,1001800,0.0,0.0
2019-01-16,42.15,43.26,42.07,42.69,774900,0.0,0.0
2019-01-17,42.25,43.3,41.27,42.94,997300,0.0,0.0
2019-01-18,42.86,44.6,42.01,44.38,1644800,0.0,0.0
2019-01-22,44.22,44.68,42.86,43.66,878600,0.0,0.0
2019-01-23,43.86,44.51,42.94,43.33,731300,0.0,0.0
2019-01-24,43.41,44.69,43.37,43.73,770400,0.0,0.0
2019-01-25,44.28,44.69,43.98,44.39,629400,0.0,0.0
2019-01-28,43.9,45.0,43.37,44.56,845900,0.0,0.0
2019-01-29,44.67,44.98,44.07,44.11,482300,0.0,0.0
2019-01-30,44.54,45.25,44.35,44.91,806200,0.0,0.0
2019-01-31,44.97,46.68,44.73,46.62,1072000,0.0,0.0
2019-02-01,46.66,47.28,45.84,46.38,802800,0.0,0.0
2019-02-04,46.74,47.31,46.07,46.78,614600,0.0,0.0
2019-02-05,46.79,47.16,45.69,46.64,652400,0.0,0.0
2019-02-06,46.71,47.28,46.374,46.93,405800,0.0,0.0
2019-02-07,46.4,46.86,45.47,46.46,683000,0.0,0.0
2019-02-08,46.14,46.77,44.891,45.84,550600,0.0,0.0
2019-02-11,46.07,46.66,45.405,46.56,584900,0.0,0.0
2019-02-12,46.9,47.5,46.57,47.42,499900,0.0,0.0
2019-02-13,47.77,48.14,46.91,47.7,562700,0.0,0.0
2019-02-14,47.25,47.88,46.42,47.52,1294000,0.0,0.0
2019-02-15,47.74,48.545,47.18,47.68,680500,0.0,0.0
2019-02-19,47.67,48.17,47.48,47.87,426200,0.0,0.0
2019-02-20,48.02,48.19,47.15,47.44,447100,0.0,0.0
2019-02-21,47.45,48.07,46.83,47.35,488900,0.0,0.0
2019-02-22,47.3,48.71,47.3,48.66,518800,0.0,0.0
2019-02-25,48.94,49.24,48.04,48.09,634900,0.0,0.0
2019-02-26,47.94,48.22,47.26,47.46,875100,0.0,0.0
2019-02-27,47.25,47.745,46.97,47.48,1011800,0.0,0.0
2019-02-28,45.96,50.97,45.96,48.21,2767500,0.0,0.0
2019-03-01,48.41,48.83,46.87,47.96,794100,0.0,0.0
2019-03-04,48.02,48.4,46.32,46.77,711600,0.0,0.0
2019-03-05,46.9,46.93,45.5,45.96,776300,0.0,0.0
2019-03-06,46.01,46.51,44.89,45.0,610500,0.0,0.0
2019-03-07,44.86,44.86,43.76,44.52,739000,0.0,0.0
2019-03-08,44.07,46.01,43.8,45.78,825100,0.0,0.0
