Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2019/01/02,37.321,37.424,36.782,37.193,3725600,0.0,0.0
2019/01/03,37.005,37.253,36.636,36.679,3542600,0.0,0.0
2019/01/04,37.236,37.861,37.15,37.81,3178300,0.0,0.0
2019/01/07,37.647,38.067,37.484,37.673,1874500,0.0,0.0
2019/01/08,37.861,37.938,36.765,37.167,3085800,0.0,0.0
2019/01/09,37.09,37.587,37.082,37.493,1998700,0.0,0.0
2019/01/10,37.459,38.007,37.433,37.878,2674000,0.0,0.0
2019/01/11,37.681,38.204,37.63,38.084,2053800,0.0,0.0
2019/01/14,37.758,38.392,37.733,38.144,1899200,0.0,0.0
2019/01/15,38.204,38.478,37.93,38.452,1735200,0.0,0.0
2019/01/16,38.743,39.026,38.384,38.829,2288400,0.0,0.0
2019/01/17,38.649,39.609,38.649,39.497,2515000,0.0,0.0
2019/01/18,39.72,40.08,39.54,39.985,3202600,0.0,0.0
2019/01/22,39.806,40.157,39.412,39.583,2312800,0.0,0.0
2019/01/23,39.669,39.866,39.274,39.831,1632000,0.0,0.0
2019/01/24,39.746,40.105,39.694,39.977,2159800,0.0,0.0
2019/01/25,40.208,40.576,40.011,40.054,2220000,0.0,0.0
2019/01/28,39.823,40.08,39.394,39.968,1575300,0.0,0.0
2019/01/29,39.84,40.097,39.326,39.48,2173300,0.0,0.0
2019/01/30,39.531,40.105,39.386,39.943,1638300,0.0,0.0
2019/01/31,39.703,40.26,39.617,40.191,2902100,0.0,0.0
2019/02/01,40.354,40.388,39.977,40.277,2191400,0.0,0.0
2019/02/04,40.474,40.482,40.037,40.397,2480000,0.0,0.0
2019/02/05,40.439,41.553,39.343,41.399,4050000,0.0,0.0
2019/02/06,41.253,41.776,40.911,41.039,2644600,0.0,0.0
2019/02/07,40.808,41.544,40.799,41.287,2279800,0.0,0.0
2019/02/08,40.928,41.168,40.388,41.022,2208200,0.0,0.0
2019/02/11,41.022,41.347,40.542,41.322,2863200,0.0,0.0
2019/02/12,41.596,41.938,41.424,41.767,1980100,0.0,0.0
2019/02/13,41.904,42.281,41.664,41.75,1946000,0.0,0.0
2019/02/14,41.433,41.622,40.928,41.322,2442300,0.0,0.0
2019/02/15,41.733,41.87,41.604,41.741,2276400,0.0,0.0
2019/02/19,41.664,42.127,41.476,42.076,2457000,0.0,0.0
2019/02/20,42.118,42.315,41.913,42.033,2786300,0.0,0.0
2019/02/21,42.144,42.264,41.622,41.827,2371600,0.0,0.0
2019/02/22,41.87,42.033,41.673,41.878,1529500,0.0,0.0
2019/02/25,42.127,42.392,41.981,42.118,1683400,0.0,0.0
2019/02/26,42.041,42.427,41.938,41.981,1554000,0.0,0.0
2019/02/27,41.853,42.11,41.776,42.041,1278700,0.0,0.0
2019/02/28,42.05,42.324,41.896,42.281,2475200,0.0,0.0
2019/03/01,42.609,42.858,42.29,42.574,1601300,0.3,0.0
2019/03/04,42.626,42.815,42.048,42.298,2447800,0.0,0.0
2019/03/05,42.272,42.453,41.876,42.16,1310200,0.0,0.0
2019/03/06,42.221,42.324,41.738,41.781,1500600,0.0,0.0
2019/03/07,41.695,41.695,41.212,41.402,2748500,0.0,0.0
2019/03/08,41.092,41.497,40.937,41.462,1455300,0.0,0.0
2019/03/11,41.6,41.661,41.35,41.54,3183200,0.0,0.0
2019/03/12,41.686,41.971,41.643,41.738,1465200,0.0,0.0
2019/03/13,41.893,42.169,41.798,41.885,1562800,0.0,0.0
2019/03/14,41.936,42.135,41.816,42.066,1375800,0.0,0.0
2019/03/15,42.014,42.41,41.962,42.074,3855800,0.0,0.0
2019/03/18,42.221,42.6,42.152,42.522,1489100,0.0,0.0
2019/03/19,42.617,42.91,42.221,42.41,3717300,0.0,0.0
2019/03/20,42.29,42.402,41.488,41.566,2099000,0.0,0.0
2019/03/21,41.419,42.316,41.376,42.186,1921500,0.0,0.0
2019/03/22,41.876,42.229,41.617,41.824,2181200,0.0,0.0
2019/03/25,41.893,42.204,41.686,41.721,2425300,0.0,0.0
2019/03/26,41.902,42.324,41.902,42.307,2122000,0.0,0.0
2019/03/27,42.316,42.652,42.255,42.419,1897000,0.0,0.0
2019/03/28,42.514,42.729,42.16,42.54,1737000,0.0,0.0
2019/03/29,42.867,42.902,42.54,42.85,1881700,0.0,0.0
2019/04/01,43.039,43.376,42.876,42.971,2376100,0.0,0.0
2019/04/02,42.979,43.083,42.591,42.669,1605800,0.0,0.0
2019/04/03,42.979,43.022,42.419,42.85,3282700,0.0,0.0
2019/04/04,42.902,43.212,42.729,43.091,1878400,0.0,0.0
2019/04/05,43.091,43.246,42.927,43.031,1460400,0.0,0.0
2019/04/08,43.031,43.108,42.772,42.996,1544200,0.0,0.0
2019/04/09,42.927,42.953,42.669,42.824,1187100,0.0,0.0
2019/04/10,42.798,43.134,42.643,43.074,1425400,0.0,0.0
2019/04/11,43.281,43.643,43.126,43.582,1378400,0.0,0.0
2019/04/12,43.936,44.151,43.763,44.013,1320000,0.0,0.0
2019/04/15,44.005,44.1,43.626,43.738,848500,0.0,0.0
2019/04/16,43.91,44.324,43.772,44.315,1150800,0.0,0.0
2019/04/17,44.427,44.427,43.47,43.591,1867500,0.0,0.0
2019/04/18,43.505,44.341,43.488,43.901,1753600,0.0,0.0
2019/04/22,43.729,43.875,43.548,43.858,898700,0.0,0.0
2019/04/23,43.832,44.22,43.72,44.048,1411300,0.0,0.0
2019/04/24,44.056,44.574,43.66,44.16,1733100,0.0,0.0
2019/04/25,43.962,44.091,43.574,43.927,1266100,0.0,0.0
2019/04/26,44.056,44.47,43.893,44.436,1313900,0.0,0.0
2019/04/29,44.513,44.935,44.47,44.617,2060500,0.0,0.0
2019/04/30,44.634,45.082,44.367,45.082,2534600,0.0,0.0
2019/05/01,44.987,45.151,44.263,44.298,2813300,0.0,0.0
2019/05/02,44.763,45.211,43.591,44.935,3576800,0.0,0.0
2019/05/03,45.03,45.565,44.918,45.435,1878000,0.0,0.0
2019/05/06,44.858,45.461,44.617,45.289,1722100,0.0,0.0
2019/05/07,45.168,45.409,44.772,45.073,2821600,0.0,0.0
2019/05/08,44.979,45.797,44.927,45.254,2112000,0.0,0.0
2019/05/09,44.884,45.435,44.841,45.254,1625900,0.0,0.0
2019/05/10,45.048,45.806,44.858,45.685,2742500,0.0,0.0
