Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2019-01-02,186.08,186.77,182.57,,641600,0.0,0.0
2019-01-03,182.5,182.5,174.95,176.20012826729237,830900,0.0,0.0
2019-01-04,178.57,181.36,178.3,179.60430267330642,754600,0.0,0.0
2019-01-07,180.47,188.21,180.47,186.90653502601415,634200,0.0,0.0
2019-01-08,189.17,192.5,188.66,191.9779345978335,689200,0.0,0.0
2019-01-09,193.67,197.16,192.71,194.4959091113481,494800,0.0,0.0
2019-01-10,193.75,197.09,192.68,196.5207891232141,503500,0.0,0.0
2019-01-11,195.85,198.36,195.42,197.7838252877318,300200,0.0,0.0
2019-01-14,196.46,197.66,195.23,195.37473551194822,484600,0.0,0.0
2019-01-15,196.29,198.83,195.67,197.16225699754017,441800,0.0,0.0
2019-01-16,198.4,201.58,197.32,198.25655559709563,776200,0.0,0.0
2019-01-17,198.08,202.46,198.08,201.8156598554598,539600,0.0,0.0
2019-01-18,203.27,207.58,202.63,206.35236396185599,723900,0.0,0.0
2019-01-22,205.59,205.59,202.04,203.05548061387495,771600,0.0,0.0
2019-01-23,224.0,229.7,220.29,227.31952720412102,2384500,0.0,0.0
2019-01-24,229.38,230.18,223.43,221.5010494679159,1110300,0.0,0.0
2019-01-25,225.0,229.99,223.85,226.83255299710098,1003000,0.0,0.0
2019-01-28,227.94,229.73,226.82,226.33709049397257,813400,0.0,0.0
2019-01-29,230.64,231.89,227.85,227.08812239498005,702100,0.0,0.0
2019-01-30,229.06,232.33,226.2,229.2063592470331,852100,0.0,0.0
2019-01-31,231.2,231.7,228.04,228.85966964254203,751000,0.0,0.0
2019-02-01,231.62,233.0,229.78,228.45349476565883,680300,0.0,0.0
2019-02-04,230.8,232.41,228.58,227.9382231645337,826600,0.0,0.0
2019-02-05,230.31,233.27,230.26,230.26223433965055,414000,0.0,0.0
2019-02-06,231.45,233.48,231.26,286.44087574011866,544200,0.0,0.0
2019-02-07,231.0,231.55,228.86,283.2086990978302,507300,0.0,0.0
2019-02-08,228.75,231.09,228.06,284.4373721707333,543800,0.0,0.0
2019-02-11,232.17,233.0,231.58,286.094829984406,419300,0.0,0.0
2019-02-12,234.82,234.82,232.93,288.2904279998118,576600,0.0,0.0
2019-02-13,234.69,235.85,233.47,288.40122134199567,540700,0.0,0.0
2019-02-14,232.87,232.88,231.33,285.02010201474314,647700,0.0,0.0
2019-02-15,233.44,234.84,231.49,288.92077906235596,592100,0.0,0.0
2019-02-19,234.23,235.57,233.55,288.61284649951415,498500,0.0,0.0
2019-02-20,234.25,234.53,232.36,288.07066526048317,402200,0.0,0.0
2019-02-21,233.05,234.91,232.22,288.7838031288502,451200,0.0,0.0
2019-02-22,235.19,236.3,234.26,289.80378570624447,330100,0.0,0.0
2019-02-25,237.37,240.98,237.37,294.28691961266674,753100,0.0,0.0
2019-02-26,238.31,239.39,236.78,293.5967992169078,648600,0.0,0.0
2019-02-27,237.54,242.1,237.54,297.412339478198,443900,0.0,0.0
2019-02-28,240.78,242.53,240.53,298.1253524964964,797700,0.0,0.0
2019-03-01,244.42,246.43,244.17,301.2840342950559,760600,0.0,0.0
2019-03-04,244.81,245.94,239.45,296.4079987185806,608100,0.0,0.0
2019-03-05,240.54,242.81,239.55,296.7646500888241,522700,0.0,0.0
2019-03-06,241.23,241.69,238.85,294.81394977089656,462100,0.0,0.0
2019-03-07,239.38,239.94,237.19,293.3212177222043,532000,0.0,0.0
2019-03-08,237.12,239.63,236.53,293.604102957356,456300,0.0,0.0
2019-03-11,238.77,240.32,238.0,294.9545737190361,481100,0.0,0.0
2019-03-12,240.72,241.44,239.06,296.56216019765486,548600,0.0,0.0
2019-03-13,241.56,242.1,238.0,296.9679465691041,577400,0.0,0.0
2019-03-14,241.18,242.59,239.86,298.37965639149206,539000,0.0,0.0
2019-03-15,242.01,245.13,241.88,301.4157534350348,1308200,0.0,0.0
2019-03-18,244.28,246.38,242.94,301.7846533098628,522000,0.0,0.0
2019-03-19,245.55,247.29,245.01,388.43870758863835,466300,0.0,0.0
2019-03-20,246.69,247.67,243.58,386.4167365906999,465500,0.0,0.0
2019-03-21,244.26,250.54,244.26,394.2460879206566,363800,0.0,0.0
2019-03-22,249.54,250.6,245.23,386.4348839850404,421300,0.0,0.0
2019-03-25,245.78,247.55,243.92,387.84970696154636,415400,0.0,0.0
2019-03-26,248.1,249.7,247.0,391.76709751770727,391600,0.0,0.0
2019-03-27,249.15,249.54,244.34,388.5412271059042,414700,0.0,0.0
2019-03-28,247.3,249.06,246.32,391.0214195079823,350200,0.0,0.0
2019-03-29,250.02,252.24,249.34,396.33918006501665,455700,0.0,0.0
2019-04-01,253.31,255.21,250.92,398.33387709144563,384500,0.0,0.0
2019-04-02,252.31,253.13,250.12,394.6163520006263,382200,0.0,0.0
2019-04-03,252.08,252.77,250.12,394.47462176113953,500500,0.0,0.0
2019-04-04,250.95,250.95,248.34,391.0271968315388,564300,0.0,0.0
2019-04-05,248.54,253.26,248.54,397.22828135607483,430200,0.0,0.0
2019-04-08,251.99,253.3,248.91,398.5170661801639,296800,0.0,0.0
2019-04-09,251.77,253.35,248.54,392.5855103734184,659900,0.0,0.0
2019-04-10,249.41,252.23,248.68,394.57949013711334,399700,0.0,0.0
2019-04-11,250.77,251.26,249.25,394.68965731693487,310300,0.0,0.0
2019-04-12,251.71,254.96,250.45,394.89422903951896,389400,0.0,0.0
2019-04-15,250.92,251.63,248.14,391.82873085414553,346300,0.0,0.0
2019-04-16,250.82,251.68,239.71,378.6558352054274,697100,0.0,0.0
2019-04-17,241.42,242.48,235.8,374.5117742600372,826200,0.0,0.0
2019-04-18,239.01,241.73,236.58,376.84821721658386,577500,0.0,0.0
2019-04-22,241.05,243.2,238.73,379.13776026320744,601700,0.0,0.0
2019-04-23,202.55,213.87,199.31,329.31903807297283,3500800,0.0,0.0
2019-04-24,210.98,211.9,206.78,323.3126709293927,1513700,0.0,0.0
2019-04-25,207.23,214.41,206.86,332.2847661831051,1212600,0.0,0.0
2019-04-26,214.04,214.35,211.93,333.60579433147745,524300,0.0,0.0
2019-04-29,214.47,215.25,211.75,330.3037468449612,457000,0.0,0.0
2019-04-30,212.86,214.02,211.79,332.50753888772186,514400,0.0,0.0
2019-05-01,213.15,214.9,210.93,329.3943401009809,391700,0.0,0.0
2019-05-02,211.5,216.29,211.16,336.373327448462,470800,0.0,0.0
2019-05-03,216.4,220.68,216.4,339.47242185459424,455200,0.0,0.0
2019-05-06,214.25,218.13,213.86,338.8491934404178,438500,0.0,0.0
2019-05-07,215.44,216.72,211.07,331.81858129998534,652600,0.0,0.0
2019-05-08,213.35,215.13,211.15,332.37837659311106,511500,0.0,0.0
2019-05-09,211.69,217.07,209.92,337.3369190662739,534800,0.0,0.0
2019-05-10,215.78,218.38,212.18,337.61690545866446,912300,0.0,0.0
2019-05-13,212.97,212.97,208.72,325.3685424618341,583800,0.0,0.0
2019-05-14,210.53,214.19,210.53,328.35608117048406,536500,0.0,0.0
2019-05-15,209.15,209.86,203.76,323.0892295034705,882400,0.0,0.0
2019-05-16,209.02,211.41,208.0,326.6763979202979,618600,0.0,0.0
2019-05-17,207.88,210.58,207.28,323.6776262219623,494000,0.0,0.0
2019-05-20,207.56,208.97,206.11,323.7553492686131,460200,0.0,0.0
2019-05-21,210.03,210.86,205.83,320.4740169643924,623000,0.0,0.0
2019-05-22,206.08,208.39,204.28,322.1640311786749,441100,0.0,0.0
2019-05-23,205.67,206.35,203.37,318.74146034732127,560700,0.0,0.0
2019-05-24,205.74,208.39,205.74,320.6013720307978,436000,0.0,0.0
2019-05-28,205.56,208.96,203.98,318.21422763862455,771700,0.0,0.0
2019-05-29,203.29,205.43,200.88,312.79007922656024,637300,0.0,0.0
2019-05-30,201.91,202.86,200.48,312.86777753513644,412400,0.0,0.0
2019-05-31,200.71,203.66,200.23,311.93388963950713,526000,0.0,0.0
2019-06-03,201.02,203.58,199.11,310.1727353182737,575300,0.0,0.0
2019-06-04,200.69,201.86,199.36,313.69605855828104,592300,0.0,0.0
2019-06-05,203.08,207.61,203.08,320.74915823979825,534800,0.0,0.0
2019-06-06,206.58,209.36,206.41,321.64900652167864,712300,0.0,0.0
2019-06-07,209.0,210.14,208.15,324.3410341229836,345700,0.0,0.0
2019-06-10,208.98,211.58,208.7,326.98683612146317,389300,0.0,0.0
2019-06-11,212.57,212.57,207.47,322.93823452571655,558600,0.0,0.0
2019-06-12,205.53,205.53,201.85,317.40761072764576,870100,0.0,0.0
2019-06-13,205.02,205.28,202.52,316.8635321177762,695700,0.0,0.0
2019-06-14,204.8,205.0,202.84,315.60295502230036,502900,0.0,0.0
2019-06-17,204.4,206.54,203.86,317.615637053349,685000,0.0,0.0
2019-06-18,205.82,209.28,204.21,323.06668157344274,565600,0.0,0.0
2019-06-19,207.0,210.81,207.0,326.69555466649956,611500,0.0,0.0
2019-06-20,212.45,214.54,210.42,328.9239826081504,604200,0.0,0.0
2019-06-21,212.15,213.42,210.37,330.4421913272568,993500,0.0,0.0
2019-06-24,212.56,213.71,211.15,329.7893890436501,588500,0.0,0.0
2019-06-25,213.02,215.33,211.11,328.0300929577909,539600,0.0,0.0
2019-06-26,211.33,211.58,208.23,327.7038571348218,527700,0.0,0.0
2019-06-27,212.36,214.4,211.81,331.4400859333162,617900,0.0,0.0
2019-06-28,213.95,215.34,212.73,334.17691169175896,870100,0.0,0.0
2019-07-01,218.61,221.72,217.64,340.23875569186407,716700,0.0,0.0
2019-07-02,219.59,219.63,216.34,337.1511835786822,627600,0.0,0.0
2019-07-03,217.57,222.68,217.34,344.0345675006644,388900,0.0,0.0
2019-07-05,221.7,221.96,218.03,341.7768593105265,505800,0.0,0.0
2019-07-08,219.54,220.41,216.68,336.96324127836664,530600,0.0,0.0
2019-07-09,216.44,218.08,216.23,336.7148692276665,737000,0.0,0.0
2019-07-10,217.67,219.2,217.03,337.1490799606326,572900,0.0,0.0
2019-07-11,217.99,218.06,213.93,336.49671352847633,573800,0.0,0.0
2019-07-12,213.75,218.3,212.58,336.9309229061507,624300,0.0,0.0
2019-07-15,217.25,217.46,215.47,336.13860083182794,573400,0.0,0.0
2019-07-16,213.5,216.6,213.49,333.3181458932158,532600,0.0,0.0
2019-07-17,213.96,214.92,210.98,330.2002320786418,740300,0.0,0.0
2019-07-18,213.31,215.52,212.53,333.28898040470307,532400,0.0,0.0
2019-07-19,215.66,217.0,213.69,331.59348290345946,560200,0.0,0.0
2019-07-22,214.16,217.84,213.45,335.12759159419596,420500,0.0,0.0
2019-07-23,216.69,219.28,215.61,339.13726502170476,437300,0.0,0.0
2019-07-24,217.29,218.56,216.05,338.966575264253,587200,0.0,0.0
2019-07-25,218.06,219.0,217.23,338.5785196119514,344300,0.0,0.0
2019-07-26,218.92,219.91,217.29,337.6153241281845,623800,0.0,0.0
2019-07-29,218.08,220.41,217.72,339.9497389026602,804400,0.0,0.0
2019-07-30,209.94,217.59,207.95,330.799172657939,1168600,0.0,0.0
2019-07-31,214.0,217.0,210.3,326.491261835623,675500,0.0,0.0
