Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2019-01-02,33.88,33.88,33.88,33.88,0,0.0,0.0
2019-01-03,33.88,33.88,33.88,33.88,24400,0.0,0.0
2019-01-04,33.88,33.88,33.88,33.88,20,0.0,0.0
2019-01-07,34.645,34.645,34.609,34.609,7200,0.0,0.0
2019-01-08,34.39,34.39,34.39,34.39,2040,0.0,0.0
2019-01-09,34.427,34.427,34.427,34.427,3460,0.0,0.0
2019-01-10,34.645,34.645,34.645,34.645,60,0.0,0.0
2019-01-11,34.645,34.645,34.645,34.645,2060,0.0,0.0
2019-01-14,34.645,34.645,34.645,34.645,8080,0.0,0.0
2019-01-15,34.062,34.062,34.062,34.062,60,0.0,0.0
2019-01-16,34.062,34.062,34.062,34.062,0,0.0,0.0
2019-01-17,34.864,34.864,34.864,34.864,1600,0.0,0.0
2019-01-18,34.791,34.791,34.791,34.791,60,0.0,0.0
2019-01-22,34.791,34.791,34.791,34.791,20,0.0,0.0
2019-01-23,35.301,35.301,35.301,35.301,4520,0.0,0.0
2019-01-24,35.301,35.301,35.301,35.301,0,0.0,0.0
2019-01-25,35.301,35.301,35.301,35.301,0,0.0,0.0
2019-01-28,35.301,35.301,35.301,35.301,20,0.0,0.0
2019-01-29,35.301,35.301,35.301,35.301,0,0.0,0.0
2019-01-30,35.301,35.301,35.301,35.301,0,0.0,0.0
2019-01-31,35.301,35.301,35.301,35.301,0,0.0,0.0
2019-02-01,35.301,35.301,35.301,35.301,3060,0.0,0.0
2019-02-04,35.301,35.301,35.301,35.301,20,0.0,0.0
2019-02-05,36.758,36.758,36.758,36.758,3080,0.0,0.0
2019-02-06,36.758,36.758,36.758,36.758,0,0.0,0.0
2019-02-07,37.523,37.523,37.523,37.523,20,0.0,0.0
2019-02-08,37.523,37.523,37.523,37.523,20,0.0,0.0
2019-02-11,37.414,37.414,37.414,37.414,2020,0.0,0.0
2019-02-12,37.414,37.414,37.414,37.414,0,0.0,0.0
2019-02-13,37.414,37.414,37.414,37.414,0,0.0,0.0
2019-02-14,37.414,37.414,37.414,37.414,40,0.0,0.0
2019-02-15,37.414,37.414,37.414,37.414,2000,0.0,0.0
2019-02-19,37.414,37.414,37.414,37.414,20,0.0,0.0
2019-02-20,37.414,37.414,37.414,37.414,0,0.0,0.0
2019-02-21,37.414,37.414,37.414,37.414,0,0.0,0.0
2019-02-22,37.414,37.414,37.414,37.414,0,0.0,0.0
2019-02-25,38.98,38.98,38.98,38.98,40,0.0,0.0
2019-02-26,38.98,38.98,38.98,38.98,0,0.0,0.0
2019-02-27,38.98,38.98,38.98,38.98,0,0.0,0.0
2019-02-28,38.98,38.98,38.98,38.98,0,0.0,0.0
2019-03-01,38.98,38.98,38.98,38.98,20,0.0,0.0
2019-03-04,39.764,39.764,39.764,39.764,0,1.055,0.0
2019-03-05,38.278,38.278,38.278,38.278,20,0.0,0.0
2019-03-06,38.427,38.427,38.427,38.427,20,0.0,0.0
2019-03-07,38.427,38.427,38.427,38.427,180,0.0,0.0
2019-03-08,38.427,38.427,38.427,38.427,0,0.0,0.0
2019-03-11,38.427,38.427,38.427,38.427,20,0.0,0.0
2019-03-12,38.984,38.984,38.984,38.984,3000,0.0,0.0
2019-03-13,38.91,38.91,38.91,38.91,2060,0.0,0.0
2019-03-14,38.91,38.91,38.91,38.91,20,0.0,0.0
2019-03-15,38.91,38.91,38.91,38.91,0,0.0,0.0
2019-03-18,38.91,38.91,38.91,38.91,0,0.0,0.0
2019-03-19,38.91,38.91,38.91,38.91,0,0.0,0.0
2019-03-20,38.91,38.91,38.91,38.91,0,0.0,0.0
2019-03-21,39.727,39.727,39.727,39.727,2900,0.0,0.0
2019-03-22,40.136,40.136,40.136,40.136,4140,0.0,0.0
2019-03-25,40.062,40.062,40.062,40.062,14120,0.0,0.0
2019-03-26,40.062,40.062,40.062,40.062,20,0.0,0.0
2019-03-27,40.136,40.136,40.136,40.136,1000,0.0,0.0
2019-03-28,39.95,39.95,39.95,39.95,20,0.0,0.0
2019-03-29,39.95,39.95,39.95,39.95,0,0.0,0.0
2019-04-01,40.991,41.177,40.991,41.177,4120,0.0,0.0
2019-04-02,41.177,41.177,41.177,41.177,0,0.0,0.0
2019-04-03,41.177,41.177,41.177,41.177,0,0.0,0.0
2019-04-04,41.177,41.177,41.177,41.177,0,0.0,0.0
2019-04-05,40.248,40.248,40.248,40.248,160,0.0,0.0
2019-04-08,40.954,40.954,40.954,40.954,4080,0.0,0.0
2019-04-09,40.954,41.808,40.545,41.808,11600,0.0,0.0
2019-04-10,41.808,41.808,41.808,41.808,8000,0.0,0.0
2019-04-11,41.808,41.808,41.437,41.808,120,0.0,0.0
2019-04-12,41.808,41.808,41.808,41.808,0,0.0,0.0
2019-04-15,41.808,41.808,41.808,41.808,2040,0.0,0.0
2019-04-16,41.474,41.474,41.437,41.437,3840,0.0,0.0
2019-04-17,40.917,40.917,40.917,40.917,3060,0.0,0.0
2019-04-18,40.917,40.917,40.917,40.917,0,0.0,0.0
2019-04-22,40.619,40.619,40.619,40.619,2040,0.0,0.0
2019-04-23,41.251,41.251,41.251,41.251,7220,0.0,0.0
