Date,Klose,Open,High,Low,Volume
2019-01-02,80.725,79.806,81.224,79.421,4198200
2019-01-03,79.763,80.183,80.944,79.308,3798900
2019-01-04,82.125,80.445,82.615,80.392,4107400
2019-01-07,83.682,81.959,84.688,81.959,4885000
2019-01-08,85.414,84.566,85.616,83.647,4663500
2019-01-09,84.889,85.196,85.93,84.583,5692200
2019-01-10,83.971,84.303,84.452,82.825,4494000
2019-01-11,85.126,83.743,85.397,83.463,3682100
2019-01-14,84.784,84.286,85.029,84.146,2931600
2019-01-15,83.035,83.787,83.787,82.466,4922000
2019-01-16,82.203,82.956,83.455,82.107,4579200
2019-01-17,80.532,81.04,81.119,79.798,6947600
2019-01-18,83.096,81.215,83.14,81.084,7206500
2019-01-22,80.511,82.137,82.137,79.798,5950000
2019-01-23,80.748,80.159,81.109,79.341,4842300
2019-01-24,80.722,80.757,81.047,80.115,4047200
2019-01-25,82.498,81.381,82.533,81.381,4750900
2019-01-28,81.909,81.847,82.093,80.906,3631900
2019-01-29,82.155,81.258,82.243,81.029,3125500
2019-01-30,84.195,82.445,84.767,82.234,4965900
2019-01-31,84.556,83.791,85.725,83.456,5400500
2019-02-01,85.391,84.599,85.435,84.274,5324100
2019-02-04,86.059,85.857,86.182,85.215,2801400
2019-02-05,86.261,85.883,86.683,85.716,3667000
2019-02-06,85.461,86.103,86.376,85.162,2952600
2019-02-07,85.189,84.846,85.417,84.353,3990200
2019-02-08,85.444,84.819,85.602,84.397,6217700
2019-02-11,85.189,85.461,85.681,84.986,3045600
2019-02-12,87.466,85.778,87.835,85.523,3553200
2019-02-13,89.216,87.888,89.48,87.835,6576400
2019-02-14,89.26,88.636,89.656,87.756,3009800
2019-02-15,91.66,90.341,91.889,90.069,4666100
2019-02-19,92.381,91.467,92.953,91.274,3342800
2019-02-20,92.909,92.909,93.129,92.153,3328300
2019-02-21,92.786,92.777,93.516,92.364,3395400
2019-02-22,93.445,93.111,93.516,92.68,2734600
2019-02-25,92.338,94.087,94.087,92.003,4665100
2019-02-26,92.355,90.772,92.399,90.341,7954700
2019-02-27,94.633,95.855,96.655,92.513,8874700
2019-02-28,92.408,94.536,94.536,91.537,8144300
2019-03-01,91.414,93.12,93.296,90.79,4655200
2019-03-04,90.737,92.03,92.232,89.963,4015300
2019-03-05,90.579,90.966,91.23,90.078,3460100
2019-03-06,89.99,90.799,91.045,89.875,2730700
2019-03-07,88.556,89.717,89.744,88.293,4704800
2019-03-08,87.343,87.739,88.425,86.173,6181300
2019-03-11,88.284,87.783,88.548,85.778,4598900
2019-03-12,88.688,88.284,89.022,87.563,4928400
2019-03-13,88.961,88.899,89.62,88.469,6268200
2019-03-14,88.644,88.794,89.04,88.152,5393400
2019-03-15,88.055,88.873,88.943,87.431,6677500
2019-03-18,89.585,87.923,89.673,87.923,4471400
2019-03-19,90.966,90.122,91.757,90.078,5801500
2019-03-20,91.089,91.256,91.784,89.796,4636000
2019-03-21,93.516,91.344,93.815,91.186,4835300
2019-03-22,92.285,93.252,94.114,92.258,4106600
2019-03-25,93.234,92.118,93.912,92.118,3994500
2019-03-26,93.173,93.964,94.281,92.777,4633200
2019-03-27,94.43,93.243,95.002,93.199,4230100
2019-03-28,95.292,94.861,95.749,94.72,4099900
2019-03-29,96.259,95.653,96.673,95.354,5318700
2019-04-01,95.784,96.91,97.789,93.067,10408000
2019-04-02,96.646,95.758,96.752,95.723,3722400
2019-04-03,98.422,97.209,98.669,96.725,4127200
2019-04-04,99.645,98.607,99.671,98.229,3007800
2019-04-05,101.104,99.917,101.342,99.917,3776800
2019-04-08,101.817,101.122,102.151,101.034,4988100
2019-04-09,99.486,101.324,101.351,99.258,3694400
2019-04-10,100.032,100.084,100.111,98.396,4434900
2019-04-11,101.236,100.128,101.315,99.68,2540500
2019-04-12,102.23,101.632,102.714,101.439,3214100
2019-04-15,103.039,102.371,103.25,102.203,3110800
2019-04-16,102.907,103.32,103.707,102.494,2687800
2019-04-17,102.986,103.32,103.962,102.81,3874700
2019-04-18,100.014,102.898,102.942,99.979,6321400
2019-04-22,99.741,99.821,101.395,99.407,4674200
2019-04-23,100.262,99.777,101.322,98.938,4033900
2019-04-24,100.642,100.51,101.393,100.271,2940200
2019-04-25,100.315,100.298,100.801,99.459,4164800
2019-04-26,99.326,100.218,100.554,98.955,4064500
2019-04-29,99.097,98.92,99.353,97.657,3186900
2019-04-30,99.909,98.523,100.05,98.196,3367100
2019-05-01,97.755,99.821,99.821,97.755,2953100
2019-05-02,99.0,97.666,99.053,97.463,3206000
2019-05-03,99.22,99.45,99.9,99.035,2575200
2019-05-06,98.329,98.055,98.611,97.225,2730500
2019-05-07,94.593,97.136,97.136,93.754,4885500
2019-05-08,94.249,94.558,95.114,93.79,3366500
2019-05-09,93.86,93.375,94.046,92.394,2919700
2019-05-10,94.169,93.33,94.717,91.617,3795300
2019-05-13,92.421,92.5,92.739,91.414,4714900
2019-05-14,93.383,92.73,94.099,92.368,2961900
2019-05-15,95.035,93.083,95.414,92.836,5104200
2019-05-16,95.891,95.609,96.783,95.414,2860300
2019-05-17,96.271,95.052,97.172,94.929,3712900
2019-05-20,96.43,95.45,97.26,95.45,4452200
2019-05-21,98.108,95.149,98.646,95.035,6415500
2019-05-22,86.487,89.41,90.522,84.253,22721500
2019-05-23,83.714,85.824,86.098,83.202,12687500
2019-05-24,84.217,84.27,84.562,83.352,7096200
2019-05-28,81.127,84.058,84.491,80.95,11747200
2019-05-29,82.327,81.056,82.796,80.888,9281500
2019-05-30,82.901,82.866,83.652,82.469,5709600
2019-05-31,82.372,81.683,83.06,81.497,6530400
2019-06-03,82.866,82.151,83.943,82.036,8393900
2019-06-04,85.507,83.899,85.701,83.899,5560500
2019-06-05,84.994,86.133,86.133,84.147,5136800
2019-06-06,84.986,85.039,85.454,84.005,4569600
2019-06-07,85.445,85.639,86.204,85.392,3974600
2019-06-10,85.047,86.098,86.911,84.897,5789500
2019-06-11,85.083,85.904,86.213,84.88,3256100
2019-06-12,85.065,84.959,85.692,84.897,2878600
2019-06-13,87.087,85.524,87.131,85.418,3617400
2019-06-14,87.979,87.414,88.297,86.981,4437100
2019-06-17,88.376,88.103,88.968,87.714,4212700
2019-06-18,87.696,88.915,89.692,87.599,3960900
2019-06-19,87.184,87.591,87.714,86.125,5558100
2019-06-20,89.577,88.226,89.922,88.085,5355300
2019-06-21,89.048,89.904,90.92,88.995,7188200
2019-06-24,87.44,88.924,89.224,87.414,4920200
2019-06-25,86.734,87.997,88.474,86.628,4767800
2019-06-26,87.635,87.078,88.332,86.619,4399900
2019-06-27,87.741,87.679,88.27,87.334,3395800
2019-06-28,89.109,87.767,89.348,87.696,4298900
2019-07-01,90.249,90.16,91.635,89.577,4072900
2019-07-02,90.681,90.293,90.911,89.913,2560200
2019-07-03,91.087,90.999,91.511,90.637,1851200
2019-07-05,92.032,90.77,92.165,90.708,2536400
2019-07-08,92.421,91.944,92.88,91.653,3882900
2019-07-09,92.597,91.679,92.862,91.679,3719600
2019-07-10,91.026,92.421,92.421,90.178,4302200
2019-07-11,92.606,91.944,92.836,91.485,2977700
2019-07-12,94.84,93.074,95.158,93.039,4814200
2019-07-15,95.344,95.123,95.644,94.699,4492200
2019-07-16,94.046,94.911,95.565,93.993,4722400
2019-07-17,92.659,93.922,94.231,92.615,5159100
2019-07-18,91.617,91.891,92.103,91.255,5147100
2019-07-19,90.513,92.006,92.112,90.487,4190700
2019-07-22,90.558,90.77,91.185,90.037,4501200
2019-07-23,91.09,90.948,91.898,90.806,5064200
2019-07-24,91.268,90.957,92.324,90.753,5989100
2019-07-25,90.602,90.975,91.863,90.353,4215100
2019-07-26,91.916,90.815,92.244,90.194,4785700
2019-07-29,92.298,92.049,92.679,92.014,3909600
2019-07-30,92.129,91.801,92.537,91.419,3981400
2019-07-31,90.025,91.641,92.156,89.528,5533400
2019-08-01,88.329,90.327,91.419,88.081,5469600
2019-08-02,88.098,88.294,88.906,87.761,3917900
2019-08-05,86.154,86.642,86.704,85.328,4685100
2019-08-06,86.935,86.296,87.086,85.142,4167800
2019-08-07,87.344,86.119,87.681,85.24,3686700
2019-08-08,89.199,88.507,89.208,88.036,3495800
2019-08-09,87.495,89.11,89.448,87.166,5370900
2019-08-12,85.302,86.713,86.918,85.186,2878800
2019-08-13,85.746,84.583,87.353,84.476,5129600
2019-08-14,83.091,84.165,84.627,83.047,5746100
2019-08-15,82.905,83.739,83.952,81.52,4745100
2019-08-16,83.384,83.633,84.325,82.905,4368300
2019-08-19,84.387,84.583,85.257,84.032,7212000
2019-08-20,86.891,85.071,88.001,84.68,9298100
2019-08-21,95.885,97.678,97.873,95.094,19753500
2019-08-22,96.027,96.222,96.426,94.935,7264400
2019-08-23,94.455,95.077,95.742,93.896,5520700
2019-08-26,94.464,95.529,95.529,93.709,4720200
2019-08-27,94.144,95.068,95.467,94.091,3722600
2019-08-28,96.044,93.754,96.399,93.505,4187800
2019-08-29,99.96,97.101,100.199,96.826,5996600
2019-08-30,99.613,100.537,100.537,99.294,4610100
2019-09-03,98.708,98.876,99.897,98.237,3893500
2019-09-04,99.365,99.054,99.471,97.216,4114000
2019-09-05,101.398,100.492,102.321,100.341,3662500
2019-09-06,101.842,101.86,102.454,101.291,3462600
2019-09-09,101.913,102.002,102.454,101.247,3782200
2019-09-10,102.348,101.629,102.952,100.279,4771600
2019-09-11,100.759,102.499,102.694,100.457,4073700
2019-09-12,101.105,101.282,102.224,101.087,3471400
2019-09-13,100.643,101.629,102.232,100.457,3476500
2019-09-16,99.995,100.013,101.114,99.56,2433400
2019-09-17,100.084,99.187,100.217,98.441,2827300
2019-09-18,99.968,99.862,100.448,99.045,2246400
2019-09-19,99.32,100.004,100.217,99.152,2369100
2019-09-20,98.512,100.261,100.492,98.504,6226500
2019-09-23,98.051,97.829,99.454,97.296,5319700
2019-09-24,97.678,98.779,99.631,97.438,3937700
2019-09-25,98.326,97.847,98.77,97.625,2908900
2019-09-26,98.299,98.619,98.921,97.119,3992600
2019-09-27,97.252,98.974,99.294,96.604,3939600
2019-09-30,97.625,97.509,97.927,96.737,4024400
2019-10-01,97.234,97.74,99.374,96.639,3966100
2019-10-02,94.42,97.048,97.048,94.038,5040700
2019-10-03,94.437,94.357,94.73,92.857,5002800
2019-10-04,95.37,94.926,95.698,94.366,4311800
2019-10-07,96.089,95.556,96.737,95.174,3686800
2019-10-08,94.553,94.899,96.089,94.535,3261700
2019-10-09,94.375,95.165,95.583,93.789,3224000
2019-10-10,96.053,94.517,96.328,94.508,3218500
2019-10-11,98.379,97.562,99.125,97.127,4498500
2019-10-14,98.255,98.06,98.761,97.891,2129900
2019-10-15,99.809,99.09,100.324,98.726,3340700
2019-10-16,99.729,99.622,100.128,99.187,2900400
2019-10-17,99.968,100.199,100.696,99.4,2615600
2019-10-18,100.182,99.578,100.43,99.48,3712300
2019-10-21,99.391,100.608,101.043,98.903,2827300
2019-10-22,100.346,99.668,101.292,99.579,3574700
2019-10-23,99.49,99.891,100.168,98.82,2181200
2019-10-24,98.919,99.632,100.748,98.553,2084800
2019-10-25,99.552,98.669,100.417,98.455,2260000
2019-10-28,99.606,99.9,100.364,99.061,2489300
2019-10-29,97.723,99.275,99.498,97.437,3034800
2019-10-30,99.284,98.035,99.445,97.42,3064900
2019-10-31,99.579,100.23,100.81,98.856,3413100
2019-11-01,100.774,99.855,100.792,98.276,2801800
2019-11-04,100.48,100.872,101.39,99.668,2518000
2019-11-05,100.105,100.516,100.596,99.061,2360400
2019-11-06,100.525,100.819,101.542,99.409,3229200
2019-11-07,100.462,101.22,101.854,100.034,2656300
2019-11-08,101.711,100.587,101.774,100.159,2792400
2019-11-11,102.113,101.015,102.148,100.569,2936700
2019-11-12,101.997,102.05,103.085,101.881,4174600
2019-11-13,100.685,100.792,102.077,99.873,4252300
2019-11-14,102.193,101.283,102.461,100.551,2852400
2019-11-15,103.067,102.71,103.228,101.265,3623200
2019-11-18,102.621,103.264,104.209,102.621,5506900
2019-11-19,101.176,102.71,102.71,100.712,7154000
2019-11-20,105.128,105.53,108.153,104.352,16114700
2019-11-21,104.406,106.163,106.172,104.102,5747800
2019-11-22,105.458,104.468,105.458,104.165,4473300
2019-11-25,104.388,106.012,106.306,104.111,4468900
2019-11-26,105.084,104.887,105.583,104.343,4752300
2019-11-27,105.69,105.333,106.136,105.012,2946000
2019-11-29,104.664,105.681,105.949,104.468,1596000
2019-12-02,103.496,104.923,105.182,103.46,3324300
2019-12-03,102.202,102.425,102.835,101.363,5091700
2019-12-04,103.014,102.603,104.798,102.487,4147400
2019-12-05,103.121,103.469,103.745,102.568,2651200
2019-12-06,103.745,103.656,104.673,103.522,2463100
2019-12-09,105.164,103.79,105.574,103.62,2589500
2019-12-10,103.924,105.084,105.155,103.835,2561600
2019-12-11,104.977,103.228,104.985,102.809,3611200
