Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2019-01-02,31.21,32.57,31.002,32.314,10648000,0.0,0.0
2019-01-03,32.17,32.17,31.394,31.738,13034500,0.0,0.0
2019-01-04,32.394,33.258,32.218,33.034,14371600,0.0,0.0
2019-01-07,33.202,33.722,32.778,33.362,11812400,0.0,0.0
2019-01-08,33.834,33.922,32.858,33.154,11398200,0.0,0.0
2019-01-09,33.522,33.762,32.994,33.386,9223000,0.0,0.0
2019-01-10,33.098,33.562,32.986,33.322,7560800,0.0,0.0
2019-01-11,33.018,33.49,32.762,33.386,8191900,0.0,0.0
2019-01-14,33.042,34.226,32.89,33.978,12336300,0.0,0.0
2019-01-15,33.762,34.386,33.618,34.298,11737000,0.0,0.0
2019-01-16,35.193,36.081,34.929,35.585,30530400,0.0,0.0
2019-01-17,33.954,34.538,33.282,34.018,47037200,0.0,0.0
2019-01-18,34.41,35.009,34.042,34.945,20614400,0.0,0.0
2019-01-22,33.93,34.186,33.538,33.922,20202400,0.0,0.0
2019-01-23,34.01,34.09,33.322,33.714,15583900,0.0,0.0
2019-01-24,33.554,34.058,33.466,33.634,13421600,0.0,0.0
2019-01-25,34.13,34.594,34.034,34.378,13422700,0.0,0.0
2019-01-28,33.946,34.178,33.642,34.114,10396600,0.0,0.0
2019-01-29,34.018,34.154,33.682,33.986,9916400,0.0,0.0
2019-01-30,34.115,34.614,33.889,34.469,12347900,0.3,0.0
2019-01-31,34.074,34.372,33.978,34.074,11163400,0.0,0.0
2019-02-01,34.074,34.421,33.663,33.688,13322100,0.0,0.0
2019-02-04,33.752,34.203,33.575,34.203,8715300,0.0,0.0
2019-02-05,34.139,34.284,34.01,34.195,9971500,0.0,0.0
2019-02-06,34.074,34.517,33.905,34.139,9744000,0.0,0.0
2019-02-07,33.921,33.978,33.059,33.414,12745400,0.0,0.0
2019-02-08,33.051,33.301,32.318,32.874,13993900,0.0,0.0
2019-02-11,33.027,33.092,32.375,32.391,17058300,0.0,0.0
2019-02-12,32.745,33.43,32.745,33.148,12400800,0.0,0.0
2019-02-13,33.43,33.857,33.156,33.18,9528300,0.0,0.0
2019-02-14,32.874,33.454,32.447,32.801,10414200,0.0,0.0
2019-02-15,33.156,33.897,33.132,33.825,13289700,0.0,0.0
2019-02-19,33.494,34.058,33.373,33.961,9401700,0.0,0.0
2019-02-20,33.905,34.219,33.849,34.171,10031600,0.0,0.0
2019-02-21,34.147,34.251,33.583,33.8,9603600,0.0,0.0
2019-02-22,33.873,34.026,33.51,33.663,10132100,0.0,0.0
2019-02-25,33.937,34.525,33.921,33.986,10804700,0.0,0.0
2019-02-26,33.816,34.38,33.535,34.163,10404400,0.0,0.0
2019-02-27,34.211,34.405,34.034,34.284,6916600,0.0,0.0
2019-02-28,34.227,34.332,33.704,33.816,12299900,0.0,0.0
2019-03-01,34.115,34.533,34.115,34.235,12336100,0.0,0.0
2019-03-04,34.276,34.719,33.671,33.833,12115100,0.0,0.0
2019-03-05,33.816,33.865,33.18,33.752,10449100,0.0,0.0
2019-03-06,33.696,33.905,33.502,33.526,7062700,0.0,0.0
2019-03-07,33.285,33.309,32.729,33.164,12502100,0.0,0.0
2019-03-08,32.689,33.43,32.544,33.317,11748400,0.0,0.0
2019-03-11,33.591,34.002,33.559,33.712,7191600,0.0,0.0
2019-03-12,33.792,33.986,33.688,33.857,7204400,0.0,0.0
2019-03-13,34.155,34.356,33.994,34.163,9269000,0.0,0.0
2019-03-14,34.074,34.574,34.074,34.388,8351200,0.0,0.0
2019-03-15,34.38,35.017,34.268,34.904,18992600,0.0,0.0
2019-03-18,35.017,35.613,35.017,35.468,10305900,0.0,0.0
2019-03-19,35.943,36.161,35.347,35.403,12548500,0.0,0.0
2019-03-20,35.234,35.283,34.582,34.662,15078500,0.0,0.0
2019-03-21,34.308,35.146,33.994,34.743,14576200,0.0,0.0
2019-03-22,34.284,34.413,33.253,33.607,25416800,0.0,0.0
2019-03-25,33.599,33.776,32.955,33.228,14504100,0.0,0.0
2019-03-26,33.599,34.018,33.301,33.736,9615400,0.0,0.0
2019-03-27,33.688,33.873,33.261,33.325,11251600,0.0,0.0
2019-03-28,33.422,33.808,33.333,33.776,8397000,0.0,0.0
2019-03-29,34.219,34.34,33.808,33.994,11811400,0.0,0.0
2019-04-01,34.461,35.403,34.437,35.065,25813300,0.0,0.0
2019-04-02,34.985,35.355,34.807,35.202,13101200,0.0,0.0
2019-04-03,35.645,35.959,35.476,35.75,11712100,0.0,0.0
2019-04-04,35.709,36.443,35.709,36.193,9119900,0.0,0.0
2019-04-05,36.354,36.555,36.032,36.169,8633900,0.0,0.0
2019-04-08,35.967,36.241,35.734,36.233,10898900,0.0,0.0
2019-04-09,35.967,35.983,35.403,35.653,7436200,0.0,0.0
2019-04-10,35.701,35.943,35.524,35.806,6703400,0.0,0.0
2019-04-11,36.04,36.314,35.822,36.088,7872700,0.0,0.0
2019-04-12,36.966,37.917,36.95,37.611,21641900,0.0,0.0
2019-04-15,37.433,37.691,36.99,37.119,11669000,0.0,0.0
2019-04-16,37.361,37.933,37.208,37.876,13358600,0.0,0.0
2019-04-17,38.545,39.109,37.965,38.875,19610000,0.0,0.0
2019-04-18,38.497,38.779,38.094,38.303,19906500,0.0,0.0
2019-04-22,38.158,38.223,37.844,38.094,7042100,0.0,0.0
2019-04-23,37.933,38.223,37.739,38.142,8163700,0.0,0.0
2019-04-24,37.965,38.352,37.901,38.166,9042500,0.0,0.0
2019-04-25,38.029,38.456,37.868,38.094,5585900,0.0,0.0
2019-04-26,38.183,38.601,38.046,38.577,7661100,0.0,0.0
2019-04-29,38.788,39.453,38.707,39.282,9702200,0.3,0.0
2019-04-30,39.315,39.412,38.796,39.112,8104600,0.0,0.0
2019-05-01,39.072,39.412,38.431,38.561,9056300,0.0,0.0
2019-05-02,38.642,38.934,38.423,38.756,7680500,0.0,0.0
2019-05-03,38.934,39.307,38.764,38.958,5829700,0.0,0.0
