Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2019-01-02,33.276,33.775,32.946,33.472,1986000,0.0,0.0
2019-01-03,33.168,33.484,32.507,32.728,1263000,0.0,0.0
2019-01-04,33.191,34.228,32.911,33.861,2406000,0.0,0.0
2019-01-07,33.919,34.489,33.459,34.186,1418000,0.0,0.0
2019-01-08,34.534,35.011,33.603,34.493,2356000,0.0,0.0
2019-01-09,34.541,35.613,34.541,35.336,1478000,0.0,0.0
2019-01-10,35.272,36.066,35.079,35.962,2378000,0.0,0.0
2019-01-11,35.869,36.053,35.51,35.927,1365000,0.0,0.0
2019-01-14,35.571,36.086,35.13,35.847,1486000,0.0,0.0
2019-01-15,35.9,36.412,35.895,36.233,2336000,0.0,0.0
2019-01-16,36.276,36.819,35.89,36.728,1810000,0.0,0.0
2019-01-17,36.518,37.448,36.518,37.165,2288000,0.0,0.0
2019-01-18,37.534,38.049,37.024,38.01,2111000,0.0,0.0
2019-01-22,37.788,38.181,37.404,37.693,2131000,0.0,0.0
2019-01-23,37.804,38.477,36.865,37.149,1448000,0.0,0.0
2019-01-24,37.165,37.985,37.019,37.512,1060000,0.0,0.0
2019-01-25,37.794,38.542,37.265,38.401,2309000,0.0,0.0
2019-01-28,37.934,38.286,37.556,38.243,1342000,0.0,0.0
2019-01-29,38.279,38.288,37.773,37.994,1404000,0.0,0.0
2019-01-30,38.228,38.503,37.502,38.401,1711000,0.0,0.0
2019-01-31,38.411,39.726,38.411,39.074,2040000,0.0,0.0
2019-02-01,39.09,39.663,38.91,39.356,1525000,0.0,0.0
2019-02-04,39.313,40.024,39.133,39.848,1548000,0.0,0.0
2019-02-05,39.9,40.101,39.676,40.069,1196000,0.0,0.0
2019-02-06,39.967,40.104,39.381,39.606,1329000,0.0,0.0
2019-02-07,39.274,39.815,39.067,39.815,760000,0.0,0.0
2019-02-08,39.599,40.366,39.331,40.352,1232000,0.0,0.0
2019-02-11,40.462,40.584,39.687,39.722,1453000,0.0,0.0
2019-02-12,40.1,40.567,39.755,40.527,1168000,0.0,0.0
2019-02-13,40.764,40.899,40.505,40.695,1078000,0.0,0.0
2019-02-14,40.717,41.089,40.475,40.778,1452000,0.0,0.0
2019-02-15,41.02,41.276,40.689,41.103,1000000,0.0,0.0
