Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2019-01-02,31.066,32.218,31.015,,4831900,0.0,0.0
2019-01-03,32.052,32.465,31.863,31.957264929286342,3530600,0.0,0.0
2019-01-04,32.523,32.922,32.4,32.78639607852598,3267200,0.0,0.0
2019-01-07,32.711,33.371,32.516,33.04627108583454,3584400,0.0,0.0
2019-01-08,33.19,33.313,32.668,33.12614367938349,3389300,0.0,0.0
2019-01-09,33.226,33.552,33.067,33.43656363610931,5827000,0.0,0.0
2019-01-10,32.762,33.443,32.762,33.224986707656285,6726800,0.0,0.0
2019-01-11,32.494,33.168,32.458,33.043574091035836,11337100,0.0,0.0
2019-01-14,32.762,33.596,32.762,33.43308637588279,9035300,0.0,0.0
2019-01-15,33.356,33.625,33.009,33.56973337866359,6512500,0.0,0.0
2019-01-16,33.907,34.683,33.748,34.428189705117866,7020000,0.0,0.0
2019-01-17,33.886,35.118,33.741,34.960587335079595,5811600,0.0,0.0
2019-01-18,35.147,35.814,34.929,35.684324329287165,5214600,0.0,0.0
2019-01-22,35.553,35.959,35.444,35.57528811432681,6608300,0.0,0.0
2019-01-23,35.806,36.009,35.676,35.77051641451013,6495900,0.0,0.0
2019-01-24,35.64,35.85,35.328,35.65446921841975,3664000,0.0,0.0
2019-01-25,35.734,35.966,35.495,35.74125741571428,3910200,0.0,0.0
2019-01-28,35.531,35.85,35.379,35.66827218002604,3229800,0.0,0.0
2019-01-29,35.611,35.908,35.611,35.69722491679051,2724800,0.0,0.0
2019-01-30,35.806,35.814,35.429,35.45771594718862,3808300,0.0,0.0
2019-01-31,35.27,35.422,34.705,35.3266373677882,4979300,0.0,0.0
2019-02-01,35.437,35.596,35.27,35.37753671708653,4353200,0.0,0.0
2019-02-04,35.444,35.574,35.248,35.529021133030774,3290500,0.0,0.0
2019-02-05,35.538,35.589,35.118,35.31866515363163,3264100,0.0,0.0
2019-02-06,35.277,35.567,35.103,35.13040530758263,2566600,0.0,0.0
2019-02-07,36.973,37.328,35.451,36.50052325987158,25599100,0.0,0.0
2019-02-08,36.575,36.734,36.009,36.34049878868644,12227800,0.0,0.0
2019-02-11,36.567,36.727,36.379,36.57823052676072,7548100,0.0,0.0
2019-02-12,37.001,37.367,36.899,37.05314395458175,6915200,0.405,0.0
2019-02-13,37.118,37.294,36.753,36.78977576984287,6208400,0.0,0.0
2019-02-14,36.527,36.534,36.044,36.261140399229284,6103000,0.0,0.0
2019-02-15,36.724,37.155,36.643,36.9538827044959,8069300,0.0,0.0
2019-02-19,36.877,37.359,36.548,37.25193956460603,6593500,0.0,0.0
2019-02-20,37.301,37.849,37.177,37.73655509159765,7217200,0.0,0.0
2019-02-21,37.856,38.054,37.681,37.77344176089455,8042200,0.0,0.0
2019-02-22,37.937,37.937,37.484,37.52526714425618,4479600,0.0,0.0
2019-02-25,37.827,37.908,37.396,37.35632643381555,5089400,0.0,0.0
2019-02-26,37.308,37.608,36.958,37.07198767074195,5448600,0.0,0.0
2019-02-27,37.228,37.411,37.009,37.20936891495609,4456900,0.0,0.0
2019-02-28,37.396,37.462,37.126,37.14448421609661,5026500,0.0,0.0
2019-03-01,37.265,37.951,37.221,37.74401668587949,8588100,0.0,0.0
2019-03-04,37.973,38.324,37.484,37.765949289959124,6301600,0.0,0.0
2019-03-05,37.798,37.966,37.206,37.671093788256314,6038700,0.0,0.0
2019-03-06,37.637,37.688,36.811,36.86067136833485,5301100,0.0,0.0
2019-03-07,36.695,36.724,36.022,36.0726627626624,6541200,0.0,0.0
2019-03-08,35.92,36.242,35.789,36.12445696373149,3446400,0.0,0.0
2019-03-11,36.329,36.585,36.095,36.35595791339282,3858000,0.0,0.0
2019-03-12,36.585,36.68,36.132,36.10792312660678,6432200,0.0,0.0
2019-03-13,36.322,36.643,36.037,36.41262477120644,4905900,0.0,0.0
2019-03-14,36.592,36.746,36.41,36.50718626533233,3081000,0.0,0.0
2019-03-15,36.548,36.826,36.402,36.397387131622175,7042000,0.0,0.0
2019-03-18,36.534,37.038,36.519,36.7603524764991,5047100,0.0,0.0
2019-03-19,37.031,37.133,36.117,36.024506834080725,5042300,0.0,0.0
