t,ret,sigma2_true
1,-0.0003821524147812313,0.00042309605455554105
2,-0.01778875775169706,0.0003535537834348102
3,-0.0012630491999696036,0.00035856543570839165
4,0.033712652648520566,0.0003059929018275868
5,0.03545360272717644,0.0004490220446186226
6,0.04840417972986888,0.000492252113208856
7,-0.009132366729481646,0.0007586185149678815
8,-0.007545305904361348,0.0006836188778262835
9,0.003145945211913248,0.0005605103211684221
10,-0.004457012097456851,0.0004649747472696305
11,0.00992241554510836,0.00039493400938403744
12,-0.012202976011946476,0.00035799527423345816
13,-0.030089481207287494,0.0003511010571619724
14,-0.00032001634859059937,0.000414263055003756
15,0.01745560897490321,0.0003560968000912122
16,-0.021705056776473095,0.0003321852244601268
17,-0.05477076451109848,0.0004231448139325555
18,0.008601522574738361,0.0007472234141319531
19,-0.00650227326196487,0.000702671449411885
20,0.009984183745790354,0.0006345793167178632
21,-0.013877744197527535,0.000554393368864353
22,0.023012637646548446,0.0005190453027041693
23,0.017572362238037757,0.0005889718866677221
24,0.027723832478985872,0.0004974183867869421
25,-0.005232903295003531,0.0005409227084037738
26,0.004739454418589057,0.00046972396190403577
27,0.005836884510231786,0.0004123296822667004
28,0.002481359093145037,0.00034745230590888025
29,0.021602460753142507,0.00029428526661853826
30,-0.012939679143325417,0.00034271831912910156
31,-0.013758129775987343,0.0003609947499220927
32,0.005464247243260996,0.0003123189167472003
33,0.0005895344070056452,0.0002774941172220065
34,-0.024070565038978104,0.00024079313223131693
35,0.029440093093447355,0.0003147108307374058
36,0.0025888235323037944,0.0005300810469962071
37,0.0315885122370802,0.0004581920951376412
38,-0.022561162867705993,0.0006217975802271063
39,-0.021594069642849753,0.0007053776342148446
40,0.010710283321543487,0.0005938905239279774
41,0.0027509533872104785,0.0005248088863783982
42,-0.030768273968337905,0.00043671194687503975
43,-0.005222968295829878,0.0005359929458268392
44,-0.005778250695796662,0.0004467841582887289
45,0.005480186849375753,0.00038777086478932116
46,0.023446816973599818,0.0003336350339308359
47,-0.009065600644466555,0.0003662890467700256
48,-0.027856031192307864,0.0003544756308851564
49,-0.03342602041565205,0.00038690665952012933
50,-0.03350787013713846,0.0004570863258001254
51,-0.029492263524412796,0.0005260472947791913
52,-0.010434538341957992,0.0005488885581967415
53,-0.01480823113161561,0.0004610474978562291
54,-0.019422950942543184,0.0004339504671142869
55,-0.05199894231035674,0.00041422647869323594
56,-0.021170987335422487,0.000794350060567113
57,0.011304446020086019,0.0006589751339857719
58,0.0037185604815732254,0.0005573255316743115
59,0.01954832344484894,0.00046119186889574855
60,0.0011862863154810926,0.0004616298471706512
61,0.009484597591272572,0.000387391437880167
62,0.00044433610058817883,0.00035390444793099096
63,-0.006630302997704761,0.000299995084726416
64,-0.009167715275715898,0.0002618160290481005
65,-0.012438152956517847,0.00023591587365523543
66,0.007138393607763351,0.0002277187368346409
67,0.018012977368584124,0.00021694338922223562
68,0.010136488269491314,0.00022777859175460594
69,0.02664545158636132,0.00020577888986034277
70,0.015408281962492292,0.00031534173388049117
71,0.005654310136678946,0.00028334225212896404
72,0.006981056997815711,0.000248330308009239
