t,ret,sigma2_true
1,0.0033336254347212015,0.0001
2,-0.014436324293259771,0.0001
3,-0.014714092430320732,0.0001
4,-0.0028920571914278427,0.0001
5,-0.0011634182840433785,0.0001
6,-0.01757701359196034,0.0001
7,-0.009028821604695314,0.0001
8,0.0034676707560686642,0.0001
9,0.010925435595027018,0.0001
10,-0.027158907516963517,0.0001
11,0.009912418603938728,0.0001
12,0.007360786900386478,0.0001
13,-0.01715391786694934,0.0001
14,-0.0007981370029577806,0.0001
15,0.009910429405338898,0.0001
16,-0.020770122236935116,0.0001
17,-0.0032991101030341564,0.0001
18,0.012659689799164249,0.0001
19,-0.00013566990950602154,0.0001
20,-0.00043554996855029484,0.0001
21,-0.00833634002057939,0.0001
22,0.0005465275358835053,0.0001
23,-0.011539345351938731,0.0001
24,-0.002305686998657217,0.0001
25,0.0012447083750008298,0.0001
26,-0.014220729708367574,0.0001
27,0.008237706633644412,0.0001
28,-0.0034241719381334036,0.0001
29,-0.0028165949339337064,0.0001
30,0.008552058978169188,0.0001
31,-0.007597710351037622,0.0001
32,0.005304681692617359,0.0001
33,0.002906328658613225,0.0001
34,-0.0109836086941571,0.0001
35,0.006162583036959195,0.0001
36,0.01693848184445226,0.0001
37,-0.007104598900538937,0.0001
38,0.014083747349117362,0.0001
39,0.005048231865989108,0.0001
40,-0.0060463311205757675,0.0001
41,0.011270395160061153,0.0001
42,-0.0010533925157786394,0.0001
43,0.005928279929279903,0.0001
44,-0.025758192162939057,0.0001
45,-0.007944164548409443,0.0001
46,0.006391840600567079,0.0001
47,-0.023010366689071304,0.0001
48,-0.0034158469460717354,0.0001
49,0.0014887268664341752,0.0001
50,0.01223982882722525,0.0001
51,-0.008546159515427903,0.0001
52,0.006735038522791867,0.0001
53,-0.00932256175399097,0.0001
54,0.009528506630132869,0.0001
55,0.004963176759570807,0.0001
56,-0.004680661917871597,0.0001
57,-0.012127504862164391,0.0001
58,-0.008309481062108319,0.0001
59,0.011780230437300743,0.0001
60,-0.0031395290626446237,0.0001
61,-0.01473918580155721,0.0001
62,0.016371818255209582,0.0001
63,-0.014814970796434866,0.0001
64,0.004734762943171963,0.0001
65,-0.01341504399100512,0.0001
66,0.016190626593561932,0.0001
67,-0.002338996623645275,0.0001
68,-0.012505975479293024,0.0001
69,0.013369310447840198,0.0001
70,0.004238323125332192,0.0001
71,0.016023065480293443,0.0001
72,-0.017119826331573648,0.0001
73,0.009179991883409653,0.0001
74,0.0050993600838178475,0.0001
75,-0.0049146919328977344,0.0001
76,0.0070761256848753465,0.0001
77,-0.016130905058011576,0.0001
78,0.006179976692918288,0.0001
79,0.0031930300653694016,0.0001
80,0.0009629773531805405,0.0001
81,-0.004152713390925751,0.0001
82,-0.009879859203681255,0.0001
83,0.010286670737903455,0.0001
84,-0.012683703445116266,0.0001
85,0.005155877070866997,0.0001
86,0.01740051573717532,0.0001
87,-0.007663149070645393,0.0001
88,0.0158226643739158,0.0001
89,-0.01164746791736169,0.0001
90,-0.0038586074319898874,0.0001
91,0.0037386765707747693,0.0001
92,0.0012190329363568958,0.0001
93,0.028255799125927836,0.0001
94,-0.013855690406418177,0.0001
95,-0.00844646974869201,0.0001
96,-0.02256786506665396,0.0001
97,0.006929212926309816,0.0001
98,3.336712575772626e-05,0.0001
99,0.007348515315604325,0.0001
100,0.016347337602775704,0.0001
101,-0.006869154578330724,0.0001
102,0.011156114749150186,0.0001
103,-0.01709475322251876,0.0001
104,0.007851317241786495,0.0001
105,0.01141383577552081,0.0001
106,-0.003300725919693896,0.0001
107,0.014624211344235334,0.0001
108,-0.0015893119384688453,0.0001
109,-0.003956507098081557,0.0001
110,-0.006954764423476316,0.0001
111,-0.011639019279749967,0.0001
112,0.013857811115518554,0.0001
113,-0.022617909297941944,0.0001
114,-0.0023133022913159797,0.0001
115,0.0014947422752707247,0.0001
116,-0.0015418143715907535,0.0001
117,0.016456759414986942,0.0001
118,-0.012579140693604716,0.0001
119,0.010119054878263055,0.0001
120,-0.008940001273352557,0.0001
121,0.007290060959533108,0.0001
122,0.004264403623087777,0.0001
123,-0.0030478401635098146,0.0001
124,-0.0013398007818564118,0.0001
125,0.004418311131952275,0.0001
126,0.009407931229024507,0.0001
127,-0.013475404799241246,0.0001
128,-0.0013327955705360773,0.0001
129,0.023588492203905524,0.0001
130,-0.0015086402570646717,0.0001
131,-0.0011952464500739133,0.0001
132,-0.00921739151710654,0.0001
133,-0.00826879660630038,0.0001
134,0.008483108273731688,0.0001
135,0.007910993194343944,0.0001
136,-0.008620270753999341,0.0001
137,0.003690826823741154,0.0001
138,-0.006041457902644402,0.0001
139,-0.005331172183851595,0.0001
140,0.01787073761330271,0.0001
141,-0.01290299744431528,0.0001
142,-0.012411992972099257,0.0001
143,-0.003809660110203813,0.0001
144,0.012726665411804245,0.0001
145,-0.001254543683276303,0.0001
146,0.0013186386291094382,0.0001
147,0.005433359476288809,0.0001
148,-0.011205593308191406,0.0001
149,0.021793186348397182,0.0001
150,-0.01843684769793368,0.0001
151,0.003578262451566975,0.0001
152,0.001518519300945796,0.0001
153,-0.011857485910783597,0.0001
154,0.02346500622145164,0.0001
155,-0.0007595097701543496,0.0001
156,-0.014642394721495611,0.0001
157,-0.021161947099916336,0.0001
158,0.008988764506547429,0.0001
159,0.003206747049751451,0.0001
160,-0.014471991715646351,0.0001
161,-0.0036390168841839185,0.0001
162,-0.014175166669543873,0.0001
163,0.014000155593497758,0.0001
164,-1.0810538842815353e-05,0.0001
165,-0.003186723952982925,0.0001
166,0.0017729239146088399,0.0001
167,-0.009168635332531093,0.0001
168,0.007888309995793487,0.0001
169,0.005766021120027317,0.0001
170,-0.0018527169258651317,0.0001
171,-0.00767381309231444,0.0001
172,0.0121556349507168,0.0001
173,-0.008899587374608033,0.0001
174,0.007652961775631449,0.0001
175,0.0032286804829487776,0.0001
176,0.0019493883890962305,0.0001
177,-0.008459592697816067,0.0001
178,0.0019080659872457776,0.0001
179,-0.0027115397652043567,0.0001
180,-0.006776519973397299,0.0001
181,-0.001997101885865916,0.0001
182,-0.0007019395816362377,0.0001
183,0.004039489810750206,0.0001
184,-0.0025108603393520423,0.0001
185,-0.006693844259015405,0.0001
186,-0.0023273432227570376,0.0001
187,0.015049818198550474,0.0001
188,-0.00967158226261112,0.0001
189,-0.00944096480064664,0.0001
190,-0.004227665818542591,0.0001
191,-0.0021180856878814194,0.0001
192,0.007174581987469893,0.0001
193,-0.004042391669316422,0.0001
194,0.015173575442911955,0.0001
195,-0.018670474902841534,0.0001
196,-0.005095971654081764,0.0001
197,0.007751962971514775,0.0001
198,0.004845973373611587,0.0001
199,-0.00348162445356069,0.0001
200,0.0061423769910771125,0.0001
201,0.027390727787337334,0.0001
202,-0.01977719785198175,0.0001
203,0.005528039252512182,0.0001
204,-0.0017329738481673812,0.0001
205,0.004714408614426468,0.0001
206,0.0027718390464750676,0.0001
207,0.009851368821829692,0.0001
208,0.007551955054484903,0.0001
209,-0.005631484474534951,0.0001
210,-0.0007993801164055832,0.0001
211,-0.006166292676657905,0.0001
212,-0.0053799231498762624,0.0001
213,-0.00040808589873813614,0.0001
214,0.0002288790748572002,0.0001
215,0.01407373830840566,0.0001
216,0.006401184774258463,0.0001
217,0.013476243738630338,0.0001
218,0.00038135494900921717,0.0001
219,-0.002256436289533918,0.0001
220,0.007921149355735495,0.0001
221,0.00342795987661898,0.0001
222,0.011683865670665148,0.0001
223,-0.002695042008016908,0.0001
224,0.012335149133228229,0.0001
225,-0.0002831641187065903,0.0001
226,-0.006905534835634029,0.0001
227,0.0008925481378245437,0.0001
228,0.009349806383395177,0.0001
229,-0.0028276710888878406,0.0001
230,-0.007598765020048807,0.0001
231,0.008687686275936708,0.0001
232,-0.001789848894203322,0.0001
233,0.007944086286483274,0.0001
234,-0.011836970098292439,0.0001
235,0.005655197572498636,0.0001
236,0.006172509573363556,0.0001
237,-0.016162673231692248,0.0001
238,-0.012131545993023206,0.0001
239,-0.005075274316466655,0.0001
