t,ret,sigma2_true
1,-0.005098417493212731,9.264477390361532e-05
2,-0.013449062064991888,8.017304592160856e-05
3,-0.014903979042018362,9.070558812361499e-05
4,-0.018739724458408685,9.4952367655625e-05
5,-0.024179634587968485,0.00011506161336973917
6,0.001510789619815529,0.00015168758497925518
7,0.005430456328854091,0.00011963603390685376
8,-0.004605850568224016,9.358867190746161e-05
9,-0.0037339314309666294,8.250601973164802e-05
10,0.010260813598195908,7.049393028200864e-05
11,-0.007321877501115697,8.143911158285169e-05
12,0.011352580679861344,8.746838419431634e-05
13,-0.0016273488136012743,0.00010598435460002645
14,0.006435600009379843,8.936085326882205e-05
15,0.010164113063397493,8.412355223498615e-05
16,-0.004492914092949768,8.110968782631535e-05
17,0.0075847898426382775,7.668726046473557e-05
18,0.018707716835387495,8.177030592362818e-05
19,0.008270760797543065,0.00010945951164174604
20,-0.009700832369177473,8.803098977754864e-05
21,-0.003910685956603625,9.03176754565646e-05
22,-0.007588623438828766,7.470946059150891e-05
23,-0.007268429993678174,7.362742486515837e-05
24,0.0008083760089672432,6.905482207625481e-05
25,-0.00329704376765138,6.264298119121502e-05
26,0.0070205952097450175,6.073476284504037e-05
27,-0.015162976206127369,6.701828067966914e-05
28,-0.004873318809575858,0.00010896046929219969
29,-0.007706039198905228,8.601704407829215e-05
30,0.00831813025327713,8.127908602015766e-05
31,0.013555692095797814,8.543878418237343e-05
32,-0.0032520938909478127,8.835718177108516e-05
33,-0.004186557400983901,8.024610374289161e-05
34,-0.009421064891403532,6.917991540961928e-05
35,-0.0006930622533662509,7.308716091998689e-05
36,0.0061390023404353875,6.475092443533461e-05
37,0.007942831418251858,6.387052949399116e-05
38,0.005299504935038977,6.4347608952248e-05
39,-0.004975574367162872,6.086390448251641e-05
40,-0.008797175948795406,6.216692895126845e-05
41,-0.0029516006623637025,6.485770103461441e-05
42,-0.0028031942062294764,5.937368237620562e-05
43,-0.007884631529252357,5.7136341360000254e-05
44,0.00031658735244604333,6.296679796232423e-05
45,0.0010409093611544332,5.9064124398874084e-05
46,0.005170732842739267,5.5780104517287435e-05
47,0.014626943593778202,5.751354723286881e-05
48,-0.001995034156135871,8.189327327547398e-05
49,-0.001381219610524017,7.509100525103483e-05
50,0.007755813990828172,6.553825446552986e-05
51,0.00984846545343977,6.965347840511634e-05
52,0.0056579887664177635,7.067801804201548e-05
53,-0.017119989780967283,6.462834247721083e-05
54,0.0021332693462263784,0.00010918635335157214
55,0.012245400071111101,9.57440242877408e-05
56,0.009090306064244035,9.355116954388087e-05
57,0.007900271141837898,8.154190039344453e-05
58,0.011315228321583768,7.560681619706203e-05
59,0.0005534173904924076,8.075202343858796e-05
60,-0.006121529764418837,6.961225287305316e-05
61,-0.005354223826451177,6.641666575734127e-05
62,0.007176746593828231,6.208731673569529e-05
63,0.0033294929465634243,6.815030711266824e-05
64,6.608865244622227e-05,6.134383269487983e-05
65,-0.0030371249935334577,5.7165370931978335e-05
66,0.00044953539117168373,5.579840122753657e-05
67,-0.01569376960240165,5.4090819906734905e-05
68,-0.0064371678613754126,9.333371305579e-05
69,-0.01194261378090559,7.69552233374916e-05
70,0.0019280909016708863,8.719660430695635e-05
71,0.0040310778349986936,7.660983511933692e-05
72,-0.0004289972850430149,6.724068126524234e-05
73,-0.003480730556214049,6.106170423400945e-05
74,-0.010569680016175824,5.8361353617159296e-05
75,-0.0037388225713470037,6.961680660124924e-05
76,-0.015787404398565512,6.228423167029305e-05
77,0.003992381176246133,9.601146679630495e-05
78,-0.015628720112017748,8.920534215614207e-05
79,-0.004408669098116882,0.00012650276158826458
